method,scenario,true_state,day,n_paths,mean_q,median_q,q10,q25,q75,q90
ewma_gaussian,sv_rho098,invalid,252,10000,0.6641313595093868,0.7104897761872675,0.29579165003505853,0.48712317373987113,0.8740408700461892,0.9546330124525577
ewma_gaussian,sv_rho098,invalid,504,10000,0.7610609243665244,0.872035082702978,0.32614425596579305,0.617885373203346,0.9718518750050786,0.9948031988516965
ewma_student_t,sv_rho098,valid,63,10000,0.447981965175823,0.4492700326029116,0.2316855347502713,0.33306444353627235,0.5615394906596176,0.6616575783886814
ewma_student_t,sv_rho098,valid,126,10000,0.3999801431990674,0.3885515937182539,0.11427973581389281,0.22618350752332766,0.5552765716976052,0.7029981408267539
ewma_student_t,sv_rho098,valid,252,10000,0.323866310458729,0.2674167112862163,0.03120691043232581,0.10321449521323293,0.5027368813329501,0.7174885536545645
ewma_student_t,sv_rho098,valid,504,10000,0.22372653202305282,0.09715790881503894,0.002805308755730513,0.017534752987094924,0.3543633142200374,0.6823806813994849
ewma_student_t,sv_rho098,invalid,63,10000,0.5542154694394598,0.5529070812000911,0.3454970913898509,0.44079713293047323,0.6700523804973408,0.768336529145683
ewma_student_t,sv_rho098,invalid,126,10000,0.6034609672206293,0.6156544961486574,0.30501410678869334,0.44504126782768033,0.7726311918195161,0.8879956276539189
ewma_student_t,sv_rho098,invalid,252,10000,0.6795165665587117,0.7384587151899145,0.2854157297490196,0.4983985506611004,0.900225862628235,0.9697687527147659
ewma_student_t,sv_rho098,invalid,504,10000,0.7799877790145869,0.9038393601739393,0.3369420725144372,0.6569561301161287,0.9819681202044166,0.9973177484022456
binary_gaussian,jump_k5,valid,63,10000,0.4710838291132028,0.470828375891294,0.32143325590526195,0.3882457742688473,0.5494693356517186,0.6233878485125961
binary_gaussian,jump_k5,valid,126,10000,0.4444096461803495,0.4373859511649003,0.24155204442589637,0.3278428965137441,0.5548121721407699,0.6578096978619142
binary_gaussian,jump_k5,valid,252,10000,0.3985833272028581,0.3790092986394875,0.14463288368705698,0.23329428515411965,0.5472920614650741,0.6827849000102484
binary_gaussian,jump_k5,valid,504,10000,0.3255007611912002,0.2694145583324366,0.05858408449796363,0.12580316490549787,0.4919001436021866,0.689078602775778
binary_gaussian,jump_k5,invalid,63,10000,0.5286090636060207,0.5295301356502813,0.3746773282692819,0.4482580821827401,0.6112047663147412,0.681024557867088
binary_gaussian,jump_k5,invalid,126,10000,0.5562048775183315,0.5615245793402599,0.34460816763991786,0.4438989211807094,0.6725886225788192,0.7642535879326047
binary_gaussian,jump_k5,invalid,252,10000,0.6018400652276552,0.6224414096578239,0.31328785247715396,0.4547370901717222,0.7643243099459067,0.8568797520272312
binary_gaussian,jump_k5,invalid,504,10000,0.6757386832589818,0.7300538615642571,0.3060788286319116,0.516498617691628,0.878178378913819,0.9431135856595733
binary_student_t,jump_k5,valid,63,10000,0.46560071188379226,0.46412054962847066,0.2915627344431757,0.36918019888148995,0.558819545355927,0.6411347445200654
binary_student_t,jump_k5,valid,126,10000,0.43475105658457025,0.4239748177381474,0.2089933262895704,0.2981294365605387,0.5629077142361179,0.6762654919351457
binary_student_t,jump_k5,valid,252,10000,0.3842741193811859,0.3547320245708604,0.11318549188077694,0.2001330796677522,0.545353764573539,0.7102197360281771
binary_student_t,jump_k5,valid,504,10000,0.30531035227698416,0.22892214366598546,0.03808638377969502,0.09095368907025207,0.4704312347946928,0.7044202213438688
binary_student_t,jump_k5,invalid,63,10000,0.5334814646966793,0.5367535937257395,0.3546587834199067,0.43851368323764434,0.6303176946049425,0.7089198968327275
binary_student_t,jump_k5,invalid,126,10000,0.5652659801517652,0.5734074991131806,0.3216423443827095,0.4358713508948914,0.7008953116782045,0.7932959343916828
binary_student_t,jump_k5,invalid,252,10000,0.6152666206755278,0.6431894023329912,0.29482093545964894,0.4508576911843689,0.7977715407898214,0.8894737944471918
binary_student_t,jump_k5,invalid,504,10000,0.6945529572556837,0.7681469174433572,0.2891789375699904,0.5224018738450282,0.9108603269935776,0.9654958617529558
ewma_gaussian,jump_k5,valid,63,10000,0.46786523282344417,0.4654646692077725,0.29258983390208904,0.37033079512017225,0.562977752730194,0.6497352852160685
ewma_gaussian,jump_k5,valid,126,10000,0.4393490080295005,0.4294091890606488,0.20483102555453614,0.29765083212131954,0.5712596619380298,0.6932818539008868
ewma_gaussian,jump_k5,valid,252,10000,0.39062745921823344,0.3607488782987946,0.10697608336714311,0.1978310974196468,0.5622649483633144,0.7268581981655691
ewma_gaussian,jump_k5,valid,504,10000,0.31623841582951034,0.24160181431240665,0.034915993755768315,0.09060372744902861,0.4986412696072628,0.7321425280459801
ewma_gaussian,jump_k5,invalid,63,10000,0.5321791864595835,0.536363989731146,0.3492667816607447,0.4348454193336267,0.6329250451441155,0.7089299572973475
ewma_gaussian,jump_k5,invalid,126,10000,0.5628477492643734,0.5734543688342455,0.31382366338319867,0.4300479907216372,0.7028802870744247,0.8005999633379989
ewma_gaussian,jump_k5,invalid,252,10000,0.6106717130149848,0.641816550686462,0.27113858635707533,0.4417264988053892,0.8046317710054425,0.893302653173757
ewma_gaussian,jump_k5,invalid,504,10000,0.6856206014326777,0.7606730037735034,0.260300568205568,0.5061448541808613,0.9121085676875248,0.9665046668796421
