scenario,method,arm,far_target,threshold,first_eligible_day,far_d504,far_alarms,far_lo,far_hi,trunc_mean_valid_days,far_d63,detect_d63,detect_d63_lo,detect_d63_hi,far_d126,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,detect_d252,detect_d252_lo,detect_d252_hi,detect_d504,detect_d504_lo,detect_d504_hi,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid,covered_by_guarantee
jump_k8,trailing_sharpe_252,C_unified,0.15,-1.0216678503228327,252,0.1206,603,0.11186331191648984,0.1299192203194195,485.7408,0.0,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0,0.0007677019450571243,0.0182,0.1496,0.13998268488765908,0.15975532063543701,0.5264,0.512545324857639,0.5402141404796619,410.443,1.4980306303123012,480,,0.4736,5000,5000,False
jump_k8,known_vol_rolling_252,C_unified,0.15,-1.0138173399256876,252,0.1288,644,0.11979920370145344,0.138370738222557,483.7964,0.0,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0,0.0007677019450571243,0.0226,0.1412,0.13182302291993514,0.15112787999583788,0.5096,0.4957414644364055,0.5234437956862494,413.8934,1.487783393902968,497,,0.49039999999999995,5000,5000,False
jump_k8,ewma_gaussian,C_unified,0.15,-1.7486128807272068,1,0.176,880,0.16569425409788285,0.1868032167625142,458.0798,0.0042,0.0102,0.007766735898799775,0.01338530492657819,0.037,0.11,0.10162486267378054,0.11897394484336402,0.102,0.3446,0.3315511437651368,0.3578874579993871,0.6074,0.5937869528606239,0.6208481447615779,347.5708,2.206224141483474,378,,0.39259999999999995,5000,5000,False
jump_k8,ewma_student_t,C_unified,0.15,-1.8676400867598089,1,0.13,650,0.12096161579771678,0.13960648364162556,470.8292,0.0016,0.0098,0.007421083157823486,0.012931571829110523,0.024,0.0936,0.08583558172805159,0.10198840641289086,0.0698,0.3162,0.30345659541585185,0.32922561181915116,0.5984,0.5847414587288611,0.6119074575283519,355.7408,2.1614560234944173,397,,0.40159999999999996,5000,5000,False
student_t,binary_gaussian,A_nominal,0.05,-1.9594687303098253,1,0.0506,506,0.04647408965973442,0.05507104807582968,494.5548,0.0001,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0015,0.0111,0.00922610769453467,0.013349365912312904,0.0164,0.1082,0.10226146887389521,0.11443943224936697,0.3571,0.3477654538117857,0.3665442929225535,437.4001,1.0987229683660578,,not reached within 504d,0.6429,10000,10000,True
student_t,binary_student_t,A_nominal,0.05,-2.1050610643793775,1,0.0531,531,0.04887421902765423,0.0576689987160565,493.9787,0.0001,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0024,0.0164,0.014089949587910894,0.019081453636207512,0.0171,0.1389,0.1322601634838601,0.14581716013944251,0.4096,0.39999818391308545,0.4192712429923328,423.626,1.189458823847788,,not reached within 504d,0.5904,10000,10000,True
student_t,trailing_sharpe_252,A_nominal,0.05,-1.516597301708207,252,0.0483,483,0.04426852864460951,0.05267837548345972,496.7378,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0057,0.0631,0.058500221107910415,0.0680353166683868,0.2962,0.2873308257258301,0.3052256920100576,454.482,0.8792216391041947,,not reached within 504d,0.7038,10000,10000,True
student_t,known_vol_rolling_252,A_nominal,0.05,-1.5226352159015375,252,0.0467,467,0.042735761876580645,0.05101237104627474,496.8609,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0054,0.061,0.05647565931482029,0.06586149125463374,0.2891,0.28029693433850805,0.29806503617424335,455.6311,0.8722301186137645,,not reached within 504d,0.7109,10000,10000,True
student_t,ewma_gaussian,A_nominal,0.05,-2.38530504469706,1,0.0509,509,0.04676195595728594,0.055382951379255765,494.5891,0.0,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0012,0.0086,0.0069694684051106025,0.010607925193590355,0.0155,0.0976,0.09193694057269153,0.10357210131602901,0.3365,0.3273032808300025,0.3458222866372087,441.7793,1.0641613989895093,,not reached within 504d,0.6635,10000,10000,True
student_t,ewma_student_t,A_nominal,0.05,-2.3235363156028384,1,0.0533,533,0.04906634884357678,0.057876715300785676,493.6719,0.0001,0.0007,0.0003391263316879597,0.0014443344412696886,0.002,0.0175,0.01510909979989246,0.02026145862781046,0.0189,0.1354,0.128833808862378,0.14224620274951938,0.402,0.39242966179080085,0.41164560188985166,425.2023,1.1865580430261078,,not reached within 504d,0.598,10000,10000,True
student_t,binary_gaussian,A_nominal,0.15,-1.3208228951111656,1,0.1485,1485,0.14166547412937383,0.1556044767252118,466.3707,0.004,0.0137,0.011601223967326633,0.016172252847993424,0.0277,0.0969,0.0912558409555618,0.10285373853087768,0.0808,0.3102,0.3012080204031197,0.31933774537838894,0.58,0.5702975198558555,0.5896410404048362,358.9055,1.543231172968043,412,,0.42000000000000004,10000,10000,True
student_t,binary_student_t,A_nominal,0.15,-1.4151135421566172,1,0.147,1470,0.1401952118159905,0.15407589103370714,464.9551,0.0041,0.0195,0.016968632494305403,0.022400389939914802,0.031,0.1249,0.11856393246874122,0.1315241431089403,0.0875,0.3569,0.34756669988712524,0.36634320044656227,0.6353,0.6258155064832566,0.6446805835576382,339.8514,1.5821068036001236,362,,0.3647,10000,10000,True
student_t,trailing_sharpe_252,A_nominal,0.15,-0.9432549516002042,252,0.1503,1503,0.1434301119298219,0.15743845653062927,480.194,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0257,0.1707,0.16345248436568285,0.1782004169612447,0.5533,0.5435374019884923,0.5630216637851936,403.2356,1.0764159959809405,454,,0.4467,10000,10000,True
student_t,known_vol_rolling_252,A_nominal,0.15,-0.9391795333880735,252,0.1486,1486,0.14176350035897956,0.155706373695932,480.1656,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0257,0.1687,0.1614877203714469,0.17616671694896338,0.5535,0.5437377460019202,0.5632211661724174,403.2362,1.0764513903170787,454,,0.4465,10000,10000,True
student_t,ewma_gaussian,A_nominal,0.15,-1.6447370951507216,1,0.1441,1441,0.1373534107508981,0.1511199192893495,468.8034,0.001,0.0046,0.0034506598701977897,0.006129805715468581,0.0214,0.0746,0.0696120472226823,0.07991465859108934,0.0743,0.285,0.27623631275734717,0.2939288065420437,0.5513,0.5415340494989641,0.5610265522682044,370.7604,1.4934298418249332,444,,0.4487,10000,10000,True
student_t,ewma_student_t,A_nominal,0.15,-1.5887065102211628,1,0.1432,1432,0.13647166460830873,0.15020235662900605,466.4775,0.0036,0.016,0.013720046519002554,0.018651663903812385,0.0277,0.1127,0.10665021790152265,0.11904722723640343,0.0825,0.338,0.3287925902017854,0.3473318252703137,0.6146,0.6050187815538864,0.6240932060195546,347.6059,1.563777573233756,379,,0.38539999999999996,10000,10000,True
student_t,binary_gaussian,B_buffered,0.05,-2.034418969167505,1,0.0436,436,0.03976987567795129,0.0477806380348023,496.1294,0.0001,0.0001,1.765267360112231e-05,0.0005662688974013381,0.001,0.0073,0.005810351168746254,0.009168040825718465,0.0135,0.0925,0.08697680073501224,0.09833615793708919,0.3338,0.32462278737403455,0.3431048536843782,443.8654,1.042195483307495,,not reached within 504d,0.6662,10000,10000,True
student_t,binary_student_t,B_buffered,0.05,-2.1834067456124195,1,0.0456,456,0.04168275313833824,0.04986622458093264,495.6229,0.0001,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0019,0.0117,0.00977199841537232,0.014003014393430442,0.0139,0.1199,0.11367867076807738,0.12641324479331098,0.3874,0.37789688608442407,0.3969895903486522,430.5499,1.1381268665115623,,not reached within 504d,0.6126,10000,10000,True
