scenario,method,true_state,day,n_paths,mean_q,median_q,q10,q90
jump_ctrl,ewma_gaussian,invalid,252,10000,0.6057110894974066,0.6362709916632526,0.2642931655999706,0.8905771053794299
jump_ctrl,ewma_gaussian,invalid,504,10000,0.6806490850650817,0.7566252479931804,0.2533649556697692,0.9676734071170405
jump_ctrl,ewma_student_t,valid,63,10000,0.463389202641448,0.4611431484968006,0.27339309182185084,0.6567371123742339
jump_ctrl,ewma_student_t,valid,126,10000,0.43325850244731384,0.42219875538913876,0.18454568162320997,0.7030025500929036
jump_ctrl,ewma_student_t,valid,252,10000,0.3782827334837756,0.3399726657115531,0.0907110303677717,0.7295868034540371
jump_ctrl,ewma_student_t,valid,504,10000,0.29869708007220463,0.21039650562118783,0.024586987521114396,0.7386738921340592
jump_ctrl,ewma_student_t,invalid,63,10000,0.5361437391112553,0.5404934263781225,0.3413592924824285,0.7237358831617553
jump_ctrl,ewma_student_t,invalid,126,10000,0.5668356573762987,0.5770439843332837,0.30358638530800613,0.8121205782747344
jump_ctrl,ewma_student_t,invalid,252,10000,0.616931448455889,0.6544517464253135,0.2625024655800404,0.9069032381424645
jump_ctrl,ewma_student_t,invalid,504,10000,0.6958474264556888,0.7861916448599393,0.2570272360109401,0.973920430359813
sv_jump,binary_gaussian,valid,63,10000,0.4711832614583347,0.47027317778636585,0.3284598176402891,0.614908243253
sv_jump,binary_gaussian,valid,126,10000,0.44330559714212525,0.43788786234514454,0.24677612639458427,0.6491808576482392
sv_jump,binary_gaussian,valid,252,10000,0.3968197090854113,0.37885803110847727,0.15038136500924434,0.6751834804776761
sv_jump,binary_gaussian,valid,504,10000,0.32568809738828175,0.2736807644161454,0.06125062507604858,0.6820798572529047
sv_jump,binary_gaussian,invalid,63,10000,0.5287886098848361,0.5302827267779218,0.3842462092868505,0.6699816118911512
sv_jump,binary_gaussian,invalid,126,10000,0.5565921669621579,0.5626311343927204,0.3557828458158538,0.7514536889156416
sv_jump,binary_gaussian,invalid,252,10000,0.603983698589132,0.6253373203622714,0.3258251036171604,0.8489058405544627
sv_jump,binary_gaussian,invalid,504,10000,0.6788378158296519,0.7356024197030984,0.3196730423316747,0.9402900953383715
sv_jump,binary_student_t,valid,63,10000,0.4616003064135526,0.45823564071132855,0.3087908177881691,0.6219051324277668
sv_jump,binary_student_t,valid,126,10000,0.42543173718902255,0.41466528323474705,0.22141780329870478,0.6456446344343627
sv_jump,binary_student_t,valid,252,10000,0.36551352691387484,0.33757435039802597,0.11900285382978115,0.6594353809418366
sv_jump,binary_student_t,valid,504,10000,0.2754221840049911,0.20953755354796083,0.040251105864358545,0.6323149126116706
sv_jump,binary_student_t,invalid,63,10000,0.5389861806648955,0.5422729722360151,0.3786690560275984,0.6934708518438057
sv_jump,binary_student_t,invalid,126,10000,0.575304040312818,0.5861204537239482,0.35669372528077375,0.7797852535804575
sv_jump,binary_student_t,invalid,252,10000,0.6347839994578378,0.6642920276881891,0.34243169454327455,0.8798586608480614
sv_jump,binary_student_t,invalid,504,10000,0.7275492880572741,0.795099939992834,0.36673066291127915,0.9612685186176557
sv_jump,ewma_gaussian,valid,63,10000,0.45438726193962103,0.4504563500224782,0.24910964412815126,0.666149783679011
sv_jump,ewma_gaussian,valid,126,10000,0.407727780999153,0.3950781440844783,0.11829775058547087,0.7203778983432123
sv_jump,ewma_gaussian,valid,252,10000,0.3432640764973903,0.2820808836920104,0.029339345181961015,0.7736062410031419
sv_jump,ewma_gaussian,valid,504,10000,0.25627558566278613,0.11861733621117074,0.0029838280073300524,0.7747816691600434
sv_jump,ewma_gaussian,invalid,63,10000,0.5447974193712682,0.5473906049573529,0.3325893727306795,0.7507096356655772
sv_jump,ewma_gaussian,invalid,126,10000,0.5905843042081009,0.6052772107506073,0.2752491153882075,0.8817728492450793
sv_jump,ewma_gaussian,invalid,252,10000,0.657142076298021,0.7156323164626441,0.23812187748692637,0.9694735655205404
sv_jump,ewma_gaussian,invalid,504,10000,0.7422915024200578,0.8806193515648941,0.222147700300158,0.9971574741136713
sv_jump,ewma_student_t,valid,63,10000,0.44392679812042235,0.4440405569032634,0.23321474908596004,0.6496198785736033
sv_jump,ewma_student_t,valid,126,10000,0.39157412868181046,0.3782243733425905,0.11092255172948806,0.6837296385511956
sv_jump,ewma_student_t,valid,252,10000,0.3125730957398361,0.2563062737941769,0.027178724288561173,0.6987705665878048
sv_jump,ewma_student_t,valid,504,10000,0.2083233424847942,0.08796108180263829,0.0025731252454447755,0.6576916821997252
sv_jump,ewma_student_t,invalid,63,10000,0.556963151826829,0.5568068332045424,0.3491841901477316,0.7668719942707337
sv_jump,ewma_student_t,invalid,126,10000,0.6109496534256573,0.6231479302608263,0.3117172619935296,0.8868608391364754
sv_jump,ewma_student_t,invalid,252,10000,0.6879696072665538,0.7496310979316667,0.295903293142601,0.9721016865474571
sv_jump,ewma_student_t,invalid,504,10000,0.7921849511952821,0.9128565606379467,0.3592331397748106,0.997578287907273
