scenario,sharpe_valid,method,far_target,setting,failure_kind,T_fixed,mean_T,threshold,working_prob_threshold,working_prob_threshold_note,first_eligible_day,n_paths,n_pre_failure_alarms,pre_failure_far,n_survivors,survival_rate,pre_failure_far_lo,pre_failure_far_hi,joint_detect_h63,joint_detect_h63_lo,joint_detect_h63_hi,cond_detect_h63,cond_detect_h63_lo,cond_detect_h63_hi,joint_check_h63,joint_identity_gap_h63,joint_detect_h126,joint_detect_h126_lo,joint_detect_h126_hi,cond_detect_h126,cond_detect_h126_lo,cond_detect_h126_hi,joint_check_h126,joint_identity_gap_h126,joint_detect_h252,joint_detect_h252_lo,joint_detect_h252_hi,cond_detect_h252,cond_detect_h252_lo,cond_detect_h252_hi,joint_check_h252,joint_identity_gap_h252,expected_min_delay,expected_min_delay_se,delay_cap_days,post_failure_undetected,median_post_failure_delay,median_post_failure_note
gaussian_ctrl,1.0,binary_gaussian,0.05,fixed_T252,fixed,252,252.0,-2.022952282136807,0.883185936490878,,1,10000,132,0.0132,9868,0.9868,0.011142645756042856,0.015631215057647876,0.0147,0.012520656667208162,0.017252052151370538,0.014896635589785164,0.012688312596225307,0.017482497992975014,0.0147,0.0,0.0376,0.03404567324712015,0.04150944844608156,0.03810295905958654,0.03450189609806779,0.04206350074036445,0.0376,0.0,0.1009,0.09514905965901568,0.10695744784045838,0.10224969598702878,0.09642582028003711,0.10838312719491826,0.1009,0.0,241.50972841507905,0.38372353318618463,252,0.8977503040129712,,not reached within 252d
gaussian_ctrl,1.0,binary_gaussian,0.15,fixed_T252,fixed,252,252.0,-1.3780807542068807,0.798682584079396,,1,10000,716,0.0716,9284,0.9284,0.06670953165616857,0.07681947814782712,0.0344,0.031002883969362332,0.03815469531341171,0.03705299439896596,0.03339817678144066,0.04109076253649419,0.0344,0.0,0.0803,0.07513340783573967,0.08578892039660625,0.08649289099526067,0.08094477243450471,0.09238306331271537,0.08030000000000001,1.3877787807814457e-17,0.1788,0.1714134861749241,0.18643319437839848,0.1925894011202068,0.18469591268144936,0.20073718010900815,0.17880000000000001,2.7755575615628914e-17,229.52778974579923,0.5726576294682317,252,0.8074105988797932,,not reached within 252d
gaussian_ctrl,1.0,binary_student_t,0.05,fixed_T252,fixed,252,252.0,-2.515810884644255,0.9252428154793239,,1,10000,112,0.0112,9888,0.9888,0.009316987490236137,0.013458409316937302,0.0144,0.012244521370558361,0.016928417847042746,0.014563106796116505,0.012383354168933276,0.017119894547255456,0.014400000000000001,1.734723475976807e-18,0.0377,0.034140882278196075,0.04161416261533149,0.038127022653721684,0.03452827746074764,0.04208450105734276,0.037700000000000004,6.938893903907228e-18,0.096,0.09038027763138,0.1019299930521267,0.0970873786407767,0.09140711454675776,0.10308058188767888,0.096,0.0,241.68901699029126,0.3819607549711067,252,0.9029126213592233,,not reached within 252d
gaussian_ctrl,1.0,binary_student_t,0.15,fixed_T252,fixed,252,252.0,-1.6941503401391478,0.8447691905390815,,1,10000,712,0.0712,9288,0.9288,0.06632272041029459,0.07640659659239767,0.0331,0.029769049801484614,0.036789527877053176,0.035637381567614125,0.0320550909596657,0.03960362833419552,0.0331,0.0,0.0786,0.07348582126570413,0.0840378125611021,0.08462532299741603,0.0791353506877324,0.09045874600499117,0.0786,0.0,0.1772,0.16984048030411053,0.18480742904399827,0.19078380706287684,0.1829214776538021,0.19890181050107145,0.1772,0.0,229.98664944013782,0.5643016810136091,252,0.8092161929371231,,not reached within 252d
gaussian_ctrl,1.0,trailing_sharpe_252,0.05,fixed_T252,fixed,252,252.0,-1.5750924007815563,,not applicable: the statistic is not a log-odds,252,10000,61,0.0061,9939,0.9939,0.00475210315987151,0.00782721043068283,0.0203,0.017714572967792833,0.02325383506903429,0.020424589998993863,0.017823429406148884,0.023396322564964694,0.020300000000000002,3.469446951953614e-18,0.0469,0.04292728623240085,0.051220693091106266,0.04718784585974444,0.04319127672751845,0.0515343067710647,0.0469,0.0,0.1446,0.13784330931237446,0.15162963672950244,0.14548747358889225,0.13869258316277727,0.15255629884083516,0.1446,0.0,238.01619881275784,0.43311587179261923,252,0.8545125264111078,,not reached within 252d
gaussian_ctrl,1.0,trailing_sharpe_252,0.15,fixed_T252,fixed,252,252.0,-1.0096286942203367,,not applicable: the statistic is not a log-odds,252,10000,227,0.0227,9773,0.9773,0.019958819233930947,0.025807745610716935,0.0596,0.055126820516927424,0.0644114052479645,0.06098434462294076,0.056410253889066335,0.06590342623528533,0.0596,0.0,0.1256,0.11924814335863339,0.13223939462132922,0.1285173437020362,0.12202794968414997,0.13529865926386514,0.1256,0.0,0.3195,0.3104318266106805,0.3287067968011337,0.3269211091783485,0.31769057167901055,0.3362876569494338,0.31949999999999995,5.551115123125783e-17,216.3986493400184,0.6654043794350556,252,0.6730788908216515,,not reached within 252d
gaussian_ctrl,1.0,ewma_student_t,0.05,fixed_T252,fixed,252,252.0,-2.6382573986973794,0.9332835425973557,,1,10000,115,0.0115,9885,0.9885,0.009589873754053874,0.01378529265409716,0.0135,0.011417697708664352,0.015955932706003973,0.013657056145675266,0.011550658617044702,0.016141307116355925,0.013500000000000002,1.734723475976807e-18,0.0369,0.03337941008580056,0.0407762492051201,0.03732928679817906,0.033768419920549825,0.0412496154994622,0.0369,0.0,0.0954,0.08979665473355486,0.10131407674799664,0.09650986342943854,0.09084449512691123,0.10248871450962926,0.0954,0.0,241.85027819929186,0.3782393432258119,252,0.9034901365705614,,not reached within 252d
gaussian_ctrl,1.0,ewma_student_t,0.15,fixed_T252,fixed,252,252.0,-1.7886632867338625,0.8567633133673043,,1,10000,679,0.0679,9321,0.9321,0.06313331677397152,0.07299853461796721,0.0323,0.02901047792963247,0.03594871414629842,0.034652934234524195,0.03112742569577183,0.03856185124158418,0.0323,0.0,0.0783,0.07319514536363607,0.08372871886219256,0.08400386224654006,0.07854242847996813,0.08980804329515528,0.0783,0.0,0.1749,0.16757967934101972,0.1824699963995942,0.1876408110717734,0.17984406997754798,0.195694910956887,0.1749,0.0,230.46540070807853,0.5609202827035937,252,0.8123591889282266,,not reached within 252d
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,fixed_T252,fixed,252,252.0,-2.6382573986973794,0.9332835425973557,,1,10000,115,0.0115,9885,0.9885,0.009589873754053874,0.01378529265409716,0.0135,0.011417697708664352,0.015955932706003973,0.013657056145675266,0.011550658617044702,0.016141307116355925,0.013500000000000002,1.734723475976807e-18,0.0369,0.03337941008580056,0.0407762492051201,0.03732928679817906,0.033768419920549825,0.0412496154994622,0.0369,0.0,0.0954,0.08979665473355486,0.10131407674799664,0.09650986342943854,0.09084449512691123,0.10248871450962926,0.0954,0.0,241.84977238239756,0.37838507929797144,252,0.9034901365705614,,not reached within 252d
gaussian_ctrl,1.0,ewma_trunc_student_t,0.15,fixed_T252,fixed,252,252.0,-1.7890463835489592,0.8568103205595133,,1,10000,679,0.0679,9321,0.9321,0.06313331677397152,0.07299853461796721,0.0322,0.028915695755265144,0.03584357312033987,0.03454564960841112,0.03102572063290603,0.03844907544610701,0.032200000000000006,6.938893903907228e-18,0.0783,0.07319514536363607,0.08372871886219256,0.08400386224654006,0.07854242847996813,0.08980804329515528,0.0783,0.0,0.1746,0.16728482692707197,0.18216507921256436,0.1873189571934342,0.17952757666441502,0.19536796169499107,0.17460000000000003,2.7755575615628914e-17,230.4930801416157,0.5604766333727307,252,0.8126810428065658,,not reached within 252d
