scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,far_d63,detect_d63,far_d126,detect_d126,far_d252,detect_d252,far_d504,detect_d504,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
jump_ctrl,binary_student_t,per_scenario,0.15,-1.6047720587712007,1,1298,0.12335477606592087,0.13652953632772807,0.002,0.0093,0.0208,0.0859,0.0673,0.3027,0.1298,0.5826,361.5984,1.5137398629161019,413,,0.4174,10000,10000
jump_ctrl,trailing_sharpe_252,per_scenario,0.15,-1.0157562177546946,252,1352,0.1286380619197146,0.142042103291531,0.0,0.0,0.0,0.0,0.0204,0.1508,0.1352,0.5181,411.1862,1.0614941497431787,487,,0.4819,10000,10000
jump_ctrl,known_vol_rolling_252,per_scenario,0.15,-1.0267277605849563,252,1311,0.12462634200534065,0.1378569719925445,0.0,0.0,0.0,0.0,0.021,0.1453,0.1311,0.505,413.4177,1.057846759529784,498,,0.495,10000,10000
jump_ctrl,ewma_gaussian,per_scenario,0.15,-1.6932156399349862,1,1356,0.12902956069227722,0.14245029732027187,0.0015,0.004,0.0167,0.0705,0.0668,0.2751,0.1356,0.5454,373.0609,1.477443976328483,447,,0.4546,10000,10000
jump_ctrl,ewma_student_t,per_scenario,0.15,-1.7999286602308775,1,1326,0.12609380060947656,0.13938836139329658,0.0023,0.0078,0.0205,0.0794,0.067,0.2909,0.1326,0.5677,366.8113,1.5004460680315395,428,,0.4323,10000,10000
jump_ctrl,ewma_trunc_gaussian,per_scenario,0.15,-1.740196788038652,1,1339,0.12736582655334353,0.14071533705366587,0.0019,0.0046,0.0173,0.0698,0.0663,0.2732,0.1339,0.5467,373.3752,1.4757287691293421,447,,0.45330000000000004,10000,10000
jump_ctrl,ewma_trunc_student_t,per_scenario,0.15,-1.8360182812904116,1,1338,0.12726797093584832,0.14061326947083522,0.0018,0.0067,0.0204,0.0783,0.0681,0.2951,0.1338,0.5727,365.6676,1.4964417278358955,423,,0.4273,10000,10000
sv_ctrl,ewma_gaussian,legacy_threshold,0.05,-2.716929175661829,1,396,0.03595116606388123,0.04360241963583777,0.0,0.0006,0.0036,0.0415,0.0153,0.1965,0.0396,0.4958,399.3594,1.3375753115004005,,not reached within 504d,0.5042,10000,10000
sv_ctrl,ewma_student_t,legacy_threshold,0.05,-2.9295472492107932,1,391,0.035474538349595804,0.04307943134849388,0.0,0.0019,0.0044,0.0551,0.0163,0.2159,0.0391,0.5168,391.4954,1.3882832675383987,489,,0.48319999999999996,10000,10000
sv_ctrl,ewma_trunc_gaussian,legacy_threshold,0.05,-2.716929175661829,1,400,0.036332586849879514,0.044020691651142946,0.0,0.0006,0.0036,0.0416,0.0154,0.1969,0.04,0.4974,399.0202,1.3392253998723165,,not reached within 504d,0.5025999999999999,10000,10000
sv_ctrl,ewma_trunc_student_t,legacy_threshold,0.05,-2.9295472492107932,1,392,0.0355698505848916,0.04318404231352394,0.0,0.0019,0.0044,0.0552,0.0165,0.2164,0.0392,0.5177,391.2382,1.3891224539957663,488,,0.48229999999999995,10000,10000
sv_ctrl,ewma_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,1320,0.12550678306521235,0.13877583973560564,0.0024,0.0167,0.0282,0.1617,0.0759,0.4093,0.132,0.6995,317.358,1.5946087298457041,316,,0.3005,10000,10000
sv_ctrl,ewma_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1396,0.13294560982142192,0.14653117620416176,0.0039,0.0354,0.0335,0.1931,0.0815,0.4411,0.1396,0.7219,304.7674,1.6244639602157398,292,,0.2781,10000,10000
sv_ctrl,ewma_trunc_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,1325,0.12599596120861004,0.13928627759383724,0.0024,0.0166,0.0288,0.1624,0.0763,0.411,0.1325,0.7011,316.876,1.5948788813777137,314,,0.29890000000000005,10000,10000
sv_ctrl,ewma_trunc_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1403,0.13363111376762415,0.14724513466024058,0.0039,0.0355,0.0337,0.1937,0.0819,0.4417,0.1403,0.7226,304.4646,1.6244206933374414,291,,0.2774,10000,10000
sv_ctrl,binary_gaussian,per_scenario,0.05,-2.0976457421604113,1,452,0.041300001086809354,0.049449283831158056,0.0015,0.0022,0.0054,0.0156,0.0184,0.0797,0.0452,0.2987,451.7423,1.0123956754013508,,not reached within 504d,0.7013,10000,10000
sv_ctrl,binary_student_t,per_scenario,0.05,-2.0646621551675466,1,447,0.04082168371429806,0.04892798520204003,0.0003,0.0006,0.0024,0.0176,0.0167,0.1393,0.0447,0.4286,421.426,1.1913615012340555,,not reached within 504d,0.5714,10000,10000
sv_ctrl,trailing_sharpe_252,per_scenario,0.05,-1.4935082610271257,252,454,0.041491366286706785,0.04965776503191237,0.0,0.0,0.0,0.0,0.0064,0.0658,0.0454,0.3202,451.8657,0.8908507438711524,,not reached within 504d,0.6798,10000,10000
sv_ctrl,known_vol_rolling_252,per_scenario,0.05,-1.6933219375045605,252,452,0.041300001086809354,0.049449283831158056,0.0,0.0,0.0,0.0,0.0075,0.0426,0.0452,0.1957,472.1032,0.7418507324434767,,not reached within 504d,0.8043,10000,10000
sv_ctrl,ewma_gaussian,per_scenario,0.05,-2.618324411065767,1,441,0.04024788569805465,0.04830224401632825,0.0,0.001,0.0043,0.0479,0.0178,0.2121,0.0441,0.5148,392.8737,1.369779502116834,488,,0.48519999999999996,10000,10000
sv_ctrl,ewma_student_t,per_scenario,0.05,-2.837571218442267,1,445,0.04063039538203104,0.048719427133655326,0.0002,0.0027,0.0047,0.0613,0.019,0.2282,0.0445,0.5336,385.8737,1.412367343498956,472,,0.46640000000000004,10000,10000
sv_ctrl,ewma_trunc_gaussian,per_scenario,0.05,-2.6221453973362343,1,445,0.04063039538203104,0.048719427133655326,0.0,0.001,0.0043,0.048,0.0186,0.2121,0.0445,0.5155,392.6941,1.3699117191742076,486,,0.48450000000000004,10000,10000
sv_ctrl,ewma_trunc_student_t,per_scenario,0.05,-2.8384311455544586,1,446,0.04072603677221204,0.0488237089438002,0.0002,0.0027,0.0048,0.0615,0.019,0.2286,0.0446,0.5344,385.7297,1.4127834651859958,471,,0.4656,10000,10000
sv_ctrl,binary_gaussian,per_scenario,0.15,-1.3410602671810024,1,1402,0.13353318111910328,0.14714314410843554,0.0115,0.0232,0.033,0.0902,0.0788,0.274,0.1402,0.5605,368.9384,1.5163216425535737,436,,0.4395,10000,10000
sv_ctrl,binary_student_t,per_scenario,0.15,-1.3415934073116509,1,1437,0.13696151223459843,0.1507121250043457,0.0074,0.0233,0.0356,0.1389,0.0868,0.3832,0.1437,0.6676,328.6041,1.5917798254219275,334,,0.33240000000000003,10000,10000
sv_ctrl,trailing_sharpe_252,per_scenario,0.15,-0.9256366551893054,252,1415,0.13480639638190822,0.14846893044986686,0.0,0.0,0.0,0.0,0.0246,0.1727,0.1415,0.58,399.9857,1.0723128065198617,436,,0.42000000000000004,10000,10000
sv_ctrl,known_vol_rolling_252,per_scenario,0.15,-0.9486271348041723,252,1416,0.1349043441377538,0.1485709058943472,0.0,0.0,0.0,0.0,0.0278,0.1471,0.1416,0.5043,414.1721,1.0540158077995363,500,,0.49570000000000003,10000,10000
sv_ctrl,ewma_gaussian,per_scenario,0.15,-1.678259552212735,1,1446,0.13784330931237446,0.15162963672950244,0.0035,0.0215,0.0328,0.1771,0.0843,0.4284,0.1446,0.7131,310.0243,1.6069271459640737,302,,0.28690000000000004,10000,10000
sv_ctrl,ewma_student_t,per_scenario,0.15,-1.827905395963949,1,1446,0.13784330931237446,0.15162963672950244,0.0045,0.0389,0.0361,0.2019,0.0864,0.4512,0.1446,0.7297,300.7832,1.6286135569826865,285,,0.2703,10000,10000
sv_ctrl,ewma_trunc_gaussian,per_scenario,0.15,-1.6876837165051084,1,1427,0.13598184545192657,0.14969255978375892,0.0036,0.0206,0.0328,0.1763,0.084,0.4287,0.1427,0.7135,310.2274,1.6056093195583743,302,,0.2865,10000,10000
sv_ctrl,ewma_trunc_student_t,per_scenario,0.15,-1.8289201484542654,1,1450,0.13823524841852597,0.15203739042465436,0.0045,0.039,0.0361,0.2026,0.0866,0.4517,0.145,0.7297,300.5457,1.6291090358769966,285,,0.2703,10000,10000
sv_jump,ewma_gaussian,legacy_threshold,0.05,-2.716929175661829,1,868,0.08143932955544067,0.09247800669808648,0.0018,0.003,0.0106,0.0631,0.037,0.2474,0.0868,0.538,381.3493,1.4332314831175808,463,,0.46199999999999997,10000,10000
sv_jump,ewma_student_t,legacy_threshold,0.05,-2.9295472492107932,1,338,0.03043324819141217,0.03752479188940666,0.0001,0.0017,0.0022,0.0533,0.0128,0.2181,0.0338,0.5337,388.8985,1.3836077973286658,471,,0.46630000000000005,10000,10000
sv_jump,ewma_trunc_gaussian,legacy_threshold,0.05,-2.716929175661829,1,960,0.09038027763138,0.1019299930521267,0.0021,0.0045,0.0139,0.0727,0.0452,0.2671,0.096,0.5662,372.4757,1.4629283498813908,435,,0.43379999999999996,10000,10000
sv_jump,ewma_trunc_student_t,legacy_threshold,0.05,-2.9295472492107932,1,382,0.03461703284432172,0.04213762805083516,0.0001,0.0019,0.0028,0.0628,0.0152,0.2473,0.0382,0.5679,377.9967,1.4230579954157987,443,,0.43210000000000004,10000,10000
sv_jump,ewma_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,2012,0.19345796901118864,0.20917150841512763,0.0083,0.0294,0.0472,0.1988,0.1204,0.4595,0.2012,0.7194,300.9103,1.6316332394548139,280,,0.28059999999999996,10000,10000
sv_jump,ewma_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1221,0.11582775732260307,0.1286624686459543,0.0037,0.0335,0.0297,0.1892,0.0707,0.4518,0.1221,0.7432,299.9625,1.6017576446298651,281,,0.25680000000000003,10000,10000
sv_jump,ewma_trunc_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,2145,0.20656526651643572,0.22265399655322057,0.0111,0.0377,0.0554,0.2137,0.1313,0.4812,0.2145,0.7393,292.4158,1.6330981452414912,266,,0.26070000000000004,10000,10000
sv_jump,ewma_trunc_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1316,0.12511546325626732,0.13836746674324718,0.0039,0.0357,0.0334,0.2066,0.0784,0.4793,0.1316,0.7618,290.0365,1.6008979930693341,265,,0.23819999999999997,10000,10000
sv_jump,binary_gaussian,per_scenario,0.05,-2.114017639112382,1,392,0.0355698505848916,0.04318404231352394,0.0012,0.0023,0.0047,0.0135,0.014,0.0778,0.0392,0.2939,452.3626,1.0035845606230858,,not reached within 504d,0.7061,10000,10000
