day,path_index,return,true_variance,forecast_variance,ratio_forecast_over_true,qlike
160,0,-0.00357713710041297,7.060916585979684e-06,8.92767978685093e-06,1.2643797272124604,0.02548330783737973
161,0,-0.004250000346455676,8.061051612675012e-06,9.247305576644625e-06,1.1471587109186072,0.009007160398361247
162,0,-0.0002340792326341769,7.229023000041457e-06,9.879769959111256e-06,1.3666812180642665,0.04408485875147017
163,0,-0.003936172830022768,9.799056633272203e-06,9.298206717789819e-06,0.9488879456230742,0.0014006526280452292
164,0,-0.0014153944194168825,7.720215089154518e-06,9.76600216423931e-06,1.264990942798828,0.025584456298448854
165,0,-0.0013321049752135748,5.963583689580634e-06,9.336304439198398e-06,1.5655526819403012,0.08699097264732436
166,0,-0.0025882438369503216,6.966882239820246e-06,8.916675233803437e-06,1.2798659324021382,0.02808716907450881
167,0,-0.005504194461251654,7.482914481900497e-06,8.847601998540117e-06,1.1823737956568252,0.013280335701700619
168,0,0.0001819834995023933,6.76440703656909e-06,1.0267929583675018e-05,1.5179349096181705,0.07614057561423415
169,0,0.001158255377836247,5.356560149661172e-06,9.651870003769127e-06,1.8018783947342873,0.14380608187457233
170,0,0.0011100964125940226,4.453878652266695e-06,9.128035681697558e-06,2.049457651265838,0.20550916382350093
171,0,-0.00018668211637749043,5.926354308241803e-06,8.63022357247791e-06,1.4562449566128415,0.06255883224518133
172,0,0.0016791033382463575,5.105248409829802e-06,8.121308039111934e-06,1.590776273192685,0.09284602872788517
173,0,-0.003464116459888694,6.478963195396463e-06,7.765576243018679e-06,1.1985831696862241,0.015458573641170315
174,0,0.0008623329949279949,4.478960149789568e-06,8.104488858562034e-06,1.8094576838203844,0.14567895276846365
175,0,-0.0013896991956970335,6.741562770574481e-06,7.644666936655808e-06,1.1339606552390478,0.007581321105124994
176,0,-0.0009990418844976721,6.255006807721537e-06,7.337312883749227e-06,1.173030359406105,0.012083306104798686
177,0,0.002380948478159341,5.672996207162942e-06,6.983107959412256e-06,1.2309382387027012,0.020165117972022584
178,0,0.0071745685710546915,7.886246069239771e-06,6.849929227639977e-06,0.8685918708976202,0.01040677545341806
179,0,-0.006812809781612682,7.357433672405565e-06,9.358938519545422e-06,1.272038449309656,0.026760450922276524
180,0,0.0009693767737632341,5.689601276720944e-06,1.1746836648237495e-05,2.0646150893384716,0.20929559475493043
181,0,-0.003189755376078895,5.52594559166701e-06,1.1077689585672111e-05,2.004668595068506,0.1943143272145642
182,0,0.002323379415677535,6.939685684859413e-06,1.1101809184592029e-05,1.5997567741163385,0.09494662606889204
183,0,0.00129868316723911,9.58258270538619e-06,1.0706629646485504e-05,1.1173010424911343,0.005929926271108776
184,0,0.0030391206331111527,9.080403634141787e-06,1.0136867573970663e-05,1.1163454822488983,0.005840427293908768
185,0,0.0022090885362791705,8.018351163097245e-06,1.0012832813747948e-05,1.2487396236560306,0.022942196579446072
186,0,0.0034231882033748315,9.98664454392643e-06,9.654631884421875e-06,0.9667543329449455,0.0005780841247262636
187,0,-0.0014244746195373073,1.2664217194784152e-05,9.69930459480079e-06,0.7658826791754264,0.038956726263860375
188,0,0.004511327853775126,1.5546243272468674e-05,9.27537211391852e-06,0.5966310928856082,0.15962129136678493
189,0,-0.001663494058204057,2.146413876654496e-05,9.834924015324703e-06,0.4582025918810164,0.40199687961644437
190,0,0.00044413931160871683,2.3591434864480405e-05,9.452830380625328e-06,0.4006890820726484,0.5811311347224084
191,0,-0.0038522336132095986,1.786978166013128e-05,8.889283451893776e-06,0.497447793205352,0.31199653844025454
192,0,-0.0038899578575366887,1.5430410646372852e-05,9.34039057729171e-06,0.6053235258186279,0.15001693398316363
