detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario
ewma_student_t,504,0.8,0.9,1458,0.8543882014702718,0.8477366255144033,0.006651575955868516,sv_jump_big
ewma_student_t,504,0.9,1.0,5942,0.9741689817684952,0.9661730057219792,0.007995976046516029,sv_jump_big
ewma_gaussian,63,0.0,0.1,252,0.055058191971799716,0.3055555555555556,-0.25049736358375585,sv_jump_big
ewma_gaussian,63,0.1,0.2,807,0.1603591055192062,0.26765799256505574,-0.10729888704584953,sv_jump_big
ewma_gaussian,63,0.2,0.30000000000000004,1814,0.255668143099608,0.2894156560088203,-0.033747512909212296,sv_jump_big
ewma_gaussian,63,0.30000000000000004,0.4,3144,0.35350439126861105,0.36704834605597964,-0.013543954787368584,sv_jump_big
ewma_gaussian,63,0.4,0.5,3961,0.4512052750006665,0.46882100479676847,-0.017615729796101987,sv_jump_big
ewma_gaussian,63,0.5,0.6000000000000001,3861,0.5480495175043054,0.5431235431235432,0.004925974380762255,sv_jump_big
ewma_gaussian,63,0.6000000000000001,0.7000000000000001,3119,0.6463221076754737,0.6194293042641872,0.026892803411286526,sv_jump_big
ewma_gaussian,63,0.7000000000000001,0.8,1887,0.7443533729242149,0.7027027027027027,0.04165067022151214,sv_jump_big
ewma_gaussian,63,0.8,0.9,871,0.839339898148204,0.7324913892078071,0.10684850894039688,sv_jump_big
ewma_gaussian,63,0.9,1.0,284,0.9476417975329463,0.6267605633802817,0.32088123415266456,sv_jump_big
ewma_gaussian,126,0.0,0.1,1506,0.04840221548697198,0.20916334661354583,-0.16076113112657384,sv_jump_big
ewma_gaussian,126,0.1,0.2,1702,0.15056523799554627,0.26674500587544064,-0.11617976787989437,sv_jump_big
ewma_gaussian,126,0.2,0.30000000000000004,2052,0.25081611307413015,0.3216374269005848,-0.07082131382645462,sv_jump_big
ewma_gaussian,126,0.30000000000000004,0.4,2189,0.3504441203249588,0.39835541343079034,-0.04791129310583153,sv_jump_big
ewma_gaussian,126,0.4,0.5,2386,0.4506445143513124,0.4840737636211232,-0.03342924926981078,sv_jump_big
ewma_gaussian,126,0.5,0.6000000000000001,2407,0.5504877463323479,0.5251350228500208,0.02535272348232709,sv_jump_big
ewma_gaussian,126,0.6000000000000001,0.7000000000000001,2306,0.6492836218898563,0.598438855160451,0.0508447667294053,sv_jump_big
ewma_gaussian,126,0.7000000000000001,0.8,2151,0.7475522478015523,0.6662017666201767,0.08135048118137556,sv_jump_big
ewma_gaussian,126,0.8,0.9,1736,0.848174846378826,0.7188940092165899,0.12928083716223615,sv_jump_big
ewma_gaussian,126,0.9,1.0,1565,0.9516976622718033,0.7789137380191693,0.172783924252634,sv_jump_big
