detector,detector_label,role,statistic,far_target,threshold,first_eligible_day,n_calibration_paths,calibration_far,n_test_valid_paths,n_test_invalid_paths,far_d126,far_d126_lo,far_d126_hi,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,far_d252_lo,far_d252_hi,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,far_d504_lo,far_d504_hi,detect_d504,detect_d504_lo,detect_d504_hi,undetected_at_H,undetected_at_H_lo,undetected_at_H_hi,trunc_mean_detect_days,trunc_mean_detect_days_se,trunc_mean_detect_years,trunc_mean_detect_years_se,median_detect_days,median_detect_note,trunc_mean_valid_days,trunc_mean_valid_days_se,scenario,arm
binary_gaussian,Fixed Gaussian,fixed scale,Gaussian-calibrated,0.15,-1.3197624794941698,1,0,0.15,5000,5000,0.025,0.021023493755648905,0.02970582309215537,0.0996,0.09160426345312381,0.10821051226447792,0.0784,0.07126887513142804,0.08617845114864411,0.3112,0.2985160130657615,0.3241738711886921,0.143,0.13357057768624933,0.15297756150252148,0.5852,0.5714833286523441,0.5987858549362183,0.4148,0.4012141450637819,0.428516671347656,357.038,2.1707176772318526,1.4168174603174604,0.008613959036634335,400,,467.9658,1.4020938697233871,jump,gaussian_transfer
binary_student_t,Fixed Student-t (nu=5),fixed scale,Gaussian-calibrated,0.15,-1.5973386285518323,1,0,0.15,5000,5000,0.0176,0.014308249555492083,0.021632429281099035,0.0848,0.07739332746358839,0.09284417223158704,0.0656,0.05906553769029381,0.07280144175957183,0.2996,0.2870606161096339,0.312447078829945,0.131,0.12193049257152744,0.14063607146392476,0.59,0.576303292419769,0.6035585212301208,0.41,0.3964414787698793,0.4236967075802311,360.4016,2.1283874624057586,1.4301650793650793,0.008445981993673645,405,,472.0874,1.305204544900456,jump,gaussian_transfer
trailing_sharpe_252,Trailing 12m Sharpe,fixed scale,Gaussian-calibrated,0.15,-0.9618405333857858,252,0,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0222,0.018468128073239217,0.02666548790545738,0.1692,0.1590625458874694,0.1798453657193804,0.1476,0.13803890413732042,0.1577021721935559,0.5576,0.5437942255562835,0.5713173351796459,0.4424,0.42868266482035416,0.4562057744437165,402.3892,1.5212906131630273,1.5967825396825397,0.006036867512551695,448,,481.2678,0.8928849115787906,jump,gaussian_transfer
known_vol_rolling_252,Rolling / fixed sigma_0,fixed scale,Gaussian-calibrated,0.15,-0.955738645532081,252,0,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0246,0.02065752018768066,0.02927241082167966,0.1676,0.1575030151971859,0.17820735305588814,0.148,0.13842761104205764,0.1581128511272626,0.5482,0.5343737509697315,0.561952242562765,0.4518,0.43804775743723506,0.46562624903026856,403.7126,1.522406681760473,1.602034126984127,0.006041296356192352,453,,480.9956,0.8983819979111526,jump,gaussian_transfer
ewma_gaussian,EWMA Gaussian,forecast scale,Gaussian-calibrated,0.15,-1.4535707722600968,1,0,0.15,5000,5000,0.0372,0.03229959379788856,0.042810991122456316,0.1266,0.11766880488683523,0.13610451492573344,0.1048,0.09661131057076798,0.11359548104660518,0.3502,0.33709715588633016,0.363532847616409,0.1824,0.17194115777088842,0.19334648650461195,0.6166,0.6030384348408956,0.6299825370655171,0.3834,0.37001746293448295,0.39696156515910447,341.714,2.2439576087684876,1.3560079365079365,0.008904593685589237,360,,456.3228,1.6000108896508798,jump,gaussian_transfer
ewma_student_t,EWMA Student-t (nu=5),forecast scale,Gaussian-calibrated,0.15,-1.706496621992804,1,0,0.15,5000,5000,0.0262,0.022123116236859242,0.031004358126276898,0.0942,0.08641201089382725,0.10261105600478113,0.076,0.06897587602169662,0.08367513522771182,0.3112,0.2985160130657615,0.3241738711886921,0.148,0.13842761104205764,0.1581128511272626,0.5996,0.5859472484853594,0.6130998252871853,0.4004,0.38690017471281474,0.41405275151464066,355.7918,2.1589035234203235,1.4118722222222224,0.008567077473890173,396,,467.0338,1.4140194134778838,jump,gaussian_transfer
binary_gaussian,Fixed Gaussian,fixed scale,calibrated here,0.05,-1.9588383810359304,1,5000,0.05,5000,5000,0.001,0.00042721349110879964,0.002338953050058211,0.0092,0.0069047385482477065,0.012248837681020369,0.0152,0.012161871202107252,0.01898249260382014,0.112,0.10355479737222284,0.1210409393371415,0.048,0.042413931418707994,0.05428007113962365,0.3676,0.35434207088262953,0.3810612165924216,0.6324,0.6189387834075785,0.6456579291173704,435.9508,1.5605647273745695,1.729963492063492,0.006192717172121308,,not reached within the 504-day horizon,495.075,0.6522162158352395,jump,per_scenario
binary_student_t,Fixed Student-t (nu=5),fixed scale,calibrated here,0.05,-2.2499814258207285,1,5000,0.05,5000,5000,0.0008,0.00031114697610156274,0.00205532664584347,0.0122,0.009509858115682888,0.015639111901914846,0.0144,0.011450945038477642,0.01809464709056184,0.1192,0.11050971686933804,0.1284749649320175,0.047,0.04147349616779377,0.053222041794428,0.3786,0.3652537119811753,0.39213268605108464,0.6214,0.6078673139489154,0.6347462880188247,432.196,1.6004452011138506,1.7150634920634922,0.006350973020293058,,not reached within the 504-day horizon,495.4492,0.629451766044989,jump,per_scenario
trailing_sharpe_252,Trailing 12m Sharpe,fixed scale,calibrated here,0.05,-1.4898081973700685,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.007,0.005037635094103144,0.009719319023723182,0.0698,0.06306242296201776,0.07719810779150939,0.0504,0.0446738140627647,0.056816503526230674,0.3194,0.30661947260778794,0.3324578213347668,0.6806,0.6675421786652332,0.6933805273922121,450.2308,1.2792113752701404,1.7866301587301587,0.0050762356161513505,,not reached within the 504-day horizon,496.569,0.5238472401246352,jump,per_scenario
known_vol_rolling_252,Rolling / fixed sigma_0,fixed scale,calibrated here,0.05,-1.4997549651629634,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0062,0.0043713883985244135,0.008786794042414002,0.0672,0.060587252460472134,0.07447727034316931,0.0536,0.04769284678695339,0.060192557509593625,0.3112,0.2985160130657615,0.3241738711886921,0.6888,0.6758261288113079,0.7014839869342384,451.8356,1.2675447165483709,1.7929984126984126,0.005029939351382424,,not reached within the 504-day horizon,496.231,0.5368733690572485,jump,per_scenario
ewma_gaussian,EWMA Gaussian,forecast scale,calibrated here,0.05,-2.373074224046604,1,5000,0.05,5000,5000,0.0008,0.00031114697610156274,0.00205532664584347,0.0086,0.0063911756315949385,0.011563321840007208,0.0132,0.010389448801641138,0.016757985812066483,0.1072,0.09892447485888448,0.11607863178915243,0.0478,0.042225787297577644,0.05406852234153203,0.3636,0.3503760466666103,0.37703338242400136,0.6364,0.6229666175759987,0.6496239533333896,437.758,1.527350584234488,1.7371349206349205,0.006060915016803524,,not reached within the 504-day horizon,495.314,0.6296310410467149,jump,per_scenario
ewma_student_t,EWMA Student-t (nu=5),forecast scale,calibrated here,0.05,-2.5758285606522944,1,5000,0.05,5000,5000,0.0008,0.00031114697610156274,0.00205532664584347,0.0088,0.006562037439973316,0.011792152950850806,0.0122,0.009509858115682888,0.015639111901914846,0.103,0.09487734390886228,0.11173221143551308,0.0464,0.040909582282313894,0.052586876922241926,0.352,0.338880228321884,0.36534701145385295,0.648,0.6346529885461472,0.6611197716781161,439.336,1.5248292631164746,1.7433968253968255,0.006050909774271725,,not reached within the 504-day horizon,495.775,0.616246725756333,jump,per_scenario
binary_gaussian,Fixed Gaussian,fixed scale,calibrated here,0.15,-1.2995479635638916,1,5000,0.15,5000,5000,0.0268,0.022673845890277048,0.03165270723052502,0.1056,0.09738221351103543,0.11442334978322563,0.0824,0.07509504921994331,0.0903461354445684,0.3192,0.30642177224131534,0.33225582878201737,0.1472,0.1376502220202381,0.15729146847219425,0.5944,0.5807227698457508,0.6079322880270225,0.4056,0.3920677119729777,0.4192772301542493,353.5814,2.1870909784912107,1.4031007936507935,0.0086789324543302,391,,466.4554,1.4350001558388248,jump,per_scenario
binary_student_t,Fixed Student-t (nu=5),fixed scale,calibrated here,0.15,-1.5473444902582578,1,5000,0.15,5000,5000,0.019,0.01556853405777507,0.023169995213369883,0.0994,0.0914118206070568,0.10800326219132297,0.072,0.0651590063175528,0.07949814654741609,0.318,0.30523562747331767,0.33104381603468325,0.1388,0.12949377652231042,0.1486608113627989,0.608,0.594390156344708,0.6214440200351596,0.392,0.3785559799648404,0.405609843655292,352.95,2.163602175741875,1.400595238095238,0.008585722919610614,387,,469.6058,1.3566983037246954,jump,per_scenario
