scenario,method,far_target,n_valid_paths,n_first_alarms,far_total,window_days,p_label_theory,mean_usable_lookback_days,n_on_label_day,share_on_label_day,prob_on_label_day,share_on_label_day_theory,prob_on_label_day_theory,n_within_window,share_within_window,prob_within_window,share_within_window_theory,prob_within_window_theory,n_elsewhere,share_elsewhere,prob_elsewhere,share_elsewhere_theory,prob_elsewhere_theory,share_sum,prob_sum,class2_asymptotic_theory
jump_ctrl,binary_student_t,0.05,10000,412,0.0412,20,0.007905097010013639,20.0,4,0.009708737864077669,0.0004,0.007905097010013639,0.00032568999681256196,56,0.13592233009708737,0.0056,0.1456131780993721,0.005999262937694131,352,0.8543689320388349,0.0352,0.8464817248906142,0.034875047065493305,1.0,0.0412,0.14561317809937208
jump_ctrl,binary_student_t,0.15,10000,1298,0.1298,20,0.007905097010013639,20.0,18,0.01386748844375963,0.0018,0.007905097010013639,0.0010260815918997704,168,0.12942989214175654,0.0168,0.1456131780993721,0.018900590517298498,1112,0.8567026194144838,0.1112,0.8464817248906142,0.10987332789080173,1.0,0.1298,0.14561317809937208
jump_ctrl,ewma_gaussian,0.05,10000,441,0.0441,20,0.007905097010013639,20.0,54,0.12244897959183673,0.0054,0.007905097010013639,0.00034861477814160147,59,0.13378684807256236,0.0059,0.1456131780993721,0.0064215411541823095,328,0.7437641723356009,0.0328,0.8464817248906142,0.03732984406767609,1.0,0.0441,0.14561317809937208
jump_ctrl,ewma_gaussian,0.15,10000,1356,0.1356,20,0.007905097010013639,20.0,168,0.12389380530973451,0.0168,0.007905097010013639,0.0010719311545578495,121,0.08923303834808259,0.0121,0.1456131780993721,0.019745146950274857,1067,0.7868731563421829,0.1067,0.8464817248906142,0.11478292189516728,1.0,0.1356,0.14561317809937208
jump_ctrl,ewma_student_t,0.05,10000,401,0.0401,20,0.007905097010013639,20.0,8,0.0199501246882793,0.0008,0.007905097010013639,0.0003169943901015469,33,0.08229426433915212,0.0033,0.14561317809937213,0.005839088441784822,360,0.8977556109725686,0.036,0.8464817248906142,0.03394391716811363,1.0,0.0401,0.14561317809937208
jump_ctrl,ewma_student_t,0.15,10000,1326,0.1326,20,0.007905097010013639,20.0,6,0.004524886877828055,0.0006,0.007905097010013639,0.0010482158635278084,144,0.1085972850678733,0.0144,0.1456131780993721,0.01930830741597674,1176,0.8868778280542986,0.1176,0.8464817248906142,0.11224347672049545,1.0,0.1326,0.14561317809937208
jump_ctrl,ewma_trunc_gaussian,0.05,10000,445,0.0445,20,0.007905097010013639,20.0,61,0.13707865168539327,0.0061,0.007905097010013639,0.0003517768169456069,74,0.1662921348314607,0.0074,0.1456131780993721,0.006479786425422058,310,0.6966292134831461,0.031,0.8464817248906142,0.03766843675763233,1.0,0.0445,0.14561317809937208
jump_ctrl,ewma_trunc_gaussian,0.15,10000,1339,0.1339,20,0.007905097010013639,20.0,177,0.1321882001493652,0.0177,0.007905097010013639,0.0010584924896408262,164,0.12247946228528753,0.0164,0.14561317809937213,0.019497604547505928,998,0.7453323375653472,0.0998,0.8464817248906142,0.11334390296285324,1.0,0.1339,0.14561317809937208
jump_ctrl,ewma_trunc_student_t,0.05,10000,414,0.0414,20,0.007905097010013639,20.0,7,0.016908212560386472,0.0007,0.007905097010013639,0.00032727101621456465,44,0.10628019323671498,0.0044,0.14561317809937213,0.006028385573314006,363,0.8768115942028986,0.0363,0.8464817248906142,0.035044343410471426,1.0,0.0414,0.14561317809937208
jump_ctrl,ewma_trunc_student_t,0.15,10000,1338,0.1338,20,0.007905097010013639,20.0,13,0.009715994020926755,0.0013,0.007905097010013639,0.001057701979939825,158,0.11808669656203288,0.0158,0.1456131780993721,0.019483043229695986,1167,0.8721973094170403,0.1167,0.8464817248906142,0.11325925479036418,1.0,0.1338,0.14561317809937208
sv_jump,binary_student_t,0.05,10000,414,0.0414,20,0.007905097010013639,20.0,3,0.007246376811594203,0.0003,0.007905097010013639,0.00032727101621456465,51,0.12318840579710146,0.0051,0.14561317809937213,0.006028385573314006,360,0.8695652173913043,0.036,0.8464817248906142,0.035044343410471426,1.0,0.0414,0.14561317809937208
sv_jump,binary_student_t,0.15,10000,1366,0.1366,20,0.007905097010013639,20.0,16,0.01171303074670571,0.0016,0.007905097010013639,0.0010798362515678631,199,0.14568081991215226,0.0199,0.1456131780993721,0.01989076012837423,1151,0.842606149341142,0.1151,0.8464817248906142,0.1156294036200579,1.0,0.1366,0.14561317809937208
sv_jump,ewma_gaussian,0.05,10000,443,0.0443,20,0.007905097010013639,20.0,195,0.4401805869074492,0.0195,0.007905097010013639,0.0003501957975436042,28,0.06320541760722348,0.0028,0.1456131780993721,0.006450663789802184,220,0.4966139954853273,0.022,0.8464817248906142,0.03749914041265421,1.0,0.0443,0.14561317809937208
sv_jump,ewma_gaussian,0.15,10000,1358,0.1358,20,0.007905097010013639,20.0,466,0.3431516936671576,0.0466,0.007905097010013639,0.0010735121739598522,98,0.07216494845360824,0.0098,0.14561317809937213,0.019774269585894736,794,0.5846833578792342,0.0794,0.8464817248906142,0.11495221824014541,1.0,0.1358,0.14561317809937208
sv_jump,ewma_student_t,0.05,10000,414,0.0414,20,0.007905097010013639,20.0,5,0.012077294685990338,0.0005,0.007905097010013639,0.00032727101621456465,33,0.07971014492753623,0.0033,0.14561317809937213,0.006028385573314006,376,0.9082125603864735,0.0376,0.8464817248906142,0.035044343410471426,1.0,0.0414,0.14561317809937208
sv_jump,ewma_student_t,0.15,10000,1353,0.1353,20,0.007905097010013639,20.0,19,0.014042867701404288,0.0019,0.007905097010013639,0.0010695596254548453,117,0.08647450110864745,0.0117,0.1456131780993721,0.019701462996845047,1217,0.8994826311899483,0.1217,0.8464817248906142,0.11452897737770011,1.0,0.1353,0.14561317809937208
sv_jump,ewma_trunc_gaussian,0.05,10000,450,0.045,20,0.007905097010013639,20.0,183,0.4066666666666667,0.0183,0.007905097010013639,0.0003557293654506137,62,0.13777777777777778,0.0062,0.1456131780993721,0.006552593014471745,205,0.45555555555555555,0.0205,0.8464817248906142,0.03809167762007764,1.0,0.045,0.14561317809937208
