scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,in_stage2c_coverage,far_d63,detect_d63,detect_d63_lo,detect_d63_hi,far_d126,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,detect_d504,detect_d504_lo,detect_d504_hi,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
gaussian_ctrl,ewma_student_t,transfer,0.15,-1.8676400867598089,1,1244,0.11807525100321868,0.13101320857283358,True,0.001,0.0044,0.0032794410394017762,0.0059011781456128655,0.0158,0.0598,0.05531946812109357,0.06461860404445009,0.0602,0.2428,0.2344959584034783,0.2513015703583977,0.1244,0.5069,0.49710034487245447,0.5166943559500303,385.475,1.4393332225417959,495,,0.4931,10000,10000
jump_ctrl,binary_gaussian,diagnostic,0.05,-2.071947215366232,1,398,0.03614186338857826,0.04381156871179247,True,0.0,0.0002,5.484892732085772e-05,0.0007289958440074673,0.001,0.0084,0.006790405766700767,0.01038714143134846,0.0124,0.0847,0.07940097150064285,0.09031797754604112,0.0398,0.3268,0.3176749503926015,0.33605806664300075,446.7681,1.0158446565669514,,not reached within 504d,0.6732,10000,10000
jump_ctrl,binary_student_t,diagnostic,0.05,-2.333632919559996,1,433,0.03948313833238368,0.04746760577939231,True,0.0,0.0002,5.484892732085772e-05,0.0007289958440074673,0.001,0.0098,0.008048716055211168,0.011927755947400165,0.0129,0.1032,0.09738896767995,0.10931577342701893,0.0433,0.3611,0.35174090536386826,0.3705657693835056,439.0073,1.0739284691759925,,not reached within 504d,0.6389,10000,10000
jump_ctrl,trailing_sharpe_252,diagnostic,0.05,-1.547294102038262,252,410,0.037286589733032234,0.04506592077124887,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0056,0.0598,0.05531946812109357,0.06461860404445009,0.041,0.2904,0.2815846334959533,0.2993763386210342,456.5236,0.8634194308766518,,not reached within 504d,0.7096,10000,10000
jump_ctrl,known_vol_rolling_252,diagnostic,0.05,-1.573578583085356,252,408,0.03709573835131741,0.04485692575231197,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0051,0.0565,0.05214271094253023,0.0611978956122599,0.0408,0.2732,0.2645546812471168,0.28201950041382207,459.6082,0.8428259279533841,,not reached within 504d,0.7268,10000,10000
jump_ctrl,ewma_gaussian,diagnostic,0.05,-2.520719384056943,1,417,0.037954765678807054,0.0457972072277551,True,0.0,0.0,0.0,0.00038399837067659573,0.0006,0.0051,0.003881311083561614,0.00669877050373408,0.0109,0.0798,0.07464874952428152,0.08527396270643509,0.0417,0.3128,0.30378629246213346,0.32195747652784784,449.5869,0.987799179773377,,not reached within 504d,0.6872,10000,10000
jump_ctrl,ewma_student_t,diagnostic,0.05,-2.6442173102799935,1,425,0.03871876165407628,0.04663259685509281,True,0.0,0.0002,5.484892732085772e-05,0.0007289958440074673,0.001,0.0076,0.006076784264021832,0.009501377331420478,0.0129,0.0945,0.08892135081695003,0.10039007186166869,0.0425,0.3402,0.33097709881553805,0.34954562706373016,443.6547,1.041641429896991,,not reached within 504d,0.6597999999999999,10000,10000
jump_ctrl,binary_gaussian,diagnostic,0.15,-1.3769742103564984,1,1339,0.12736582655334353,0.14071533705366587,True,0.0028,0.0081,0.006522289905863053,0.010055487691208582,0.0216,0.0816,0.0763938032587989,0.08712752657778329,0.0687,0.2843,0.27554312501078404,0.29322253188632574,0.1339,0.5602,0.5504501931315493,0.5699035734646214,368.7493,1.4960245766378273,435,,0.43979999999999997,10000,10000
jump_ctrl,binary_student_t,diagnostic,0.15,-1.576757603369278,1,1383,0.1316726841799782,0.14520510024136926,True,0.0022,0.0093,0.007598063501358217,0.011378792499623794,0.0225,0.0926,0.08707400932446209,0.0984388725479652,0.0753,0.3011,0.2921867173282191,0.3101660372236359,0.1383,0.5829,0.5732057852656314,0.5925305478045104,360.3346,1.519845866339657,409,,0.4171,10000,10000
jump_ctrl,trailing_sharpe_252,diagnostic,0.15,-0.9901059524069324,252,1405,0.1338269825685901,0.1474491122599264,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0229,0.1565,0.14951093725347792,0.1637528696271769,0.1405,0.5365,0.526714177302969,0.5462577908159715,407.9158,1.0684990126574778,472,,0.4635,10000,10000
