detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,sharpe_valid
ewma_student_t,126,0.2,0.30000000000000004,2099,0.2516159373546398,0.2710814673654121,-0.019465530010772336,sv_jump,1.0
ewma_student_t,126,0.30000000000000004,0.4,2556,0.3508309004742832,0.3591549295774648,-0.008324029103181585,sv_jump,1.0
ewma_student_t,126,0.4,0.5,2824,0.4500546306626776,0.4475920679886686,0.0024625626740090167,sv_jump,1.0
ewma_student_t,126,0.5,0.6000000000000001,2909,0.5501495620739592,0.5297353042282571,0.020414257845702055,sv_jump,1.0
ewma_student_t,126,0.6000000000000001,0.7000000000000001,2623,0.647632709490625,0.6454441479222265,0.0021885615683985282,sv_jump,1.0
ewma_student_t,126,0.7000000000000001,0.8,2060,0.7477877496573302,0.7427184466019418,0.005069303055388441,sv_jump,1.0
ewma_student_t,126,0.8,0.9,1563,0.846725549589034,0.8125399872040947,0.034185562384939305,sv_jump,1.0
ewma_student_t,126,0.9,1.0,925,0.9437410799950628,0.9394594594594594,0.0042816205356034365,sv_jump,1.0
ewma_student_t,252,0.0,0.1,2747,0.045088107245625626,0.05642519111758282,-0.011337083871957192,sv_jump,1.0
ewma_student_t,252,0.1,0.2,2011,0.1485936983999193,0.17503729487817007,-0.026443596478250786,sv_jump,1.0
ewma_student_t,252,0.2,0.30000000000000004,1871,0.2505352047662046,0.259219668626403,-0.008684463860198388,sv_jump,1.0
ewma_student_t,252,0.30000000000000004,0.4,1675,0.35043219485250743,0.36955223880597016,-0.01912004395346273,sv_jump,1.0
ewma_student_t,252,0.4,0.5,1679,0.4493112137206967,0.46932698034544373,-0.020015766624747022,sv_jump,1.0
ewma_student_t,252,0.5,0.6000000000000001,1694,0.5507136451283585,0.5377804014167651,0.012933243711593434,sv_jump,1.0
ewma_student_t,252,0.6000000000000001,0.7000000000000001,1731,0.6505664614556933,0.6320046216060081,0.01856183984968518,sv_jump,1.0
ewma_student_t,252,0.7000000000000001,0.8,1804,0.7515057319198089,0.7267184035476718,0.02478732837213704,sv_jump,1.0
ewma_student_t,252,0.8,0.9,1953,0.8507497720233864,0.8310291858678955,0.019720586155490882,sv_jump,1.0
ewma_student_t,252,0.9,1.0,2835,0.9547852649177311,0.9389770723104056,0.015808192607325466,sv_jump,1.0
ewma_student_t,504,0.0,0.1,5466,0.02940195228265601,0.03933406512989389,-0.00993211284723788,sv_jump,1.0
ewma_student_t,504,0.1,0.2,1611,0.14610394322446316,0.1713221601489758,-0.02521821692451265,sv_jump,1.0
ewma_student_t,504,0.2,0.30000000000000004,1097,0.24846452298403235,0.2725615314494075,-0.02409700846537513,sv_jump,1.0
ewma_student_t,504,0.30000000000000004,0.4,965,0.3489893760472802,0.3544041450777202,-0.005414769030440025,sv_jump,1.0
ewma_student_t,504,0.4,0.5,900,0.4509744178921883,0.46444444444444444,-0.013470026552256154,sv_jump,1.0
ewma_student_t,504,0.5,0.6000000000000001,854,0.5504450410083229,0.5456674473067916,0.004777593701531302,sv_jump,1.0
ewma_student_t,504,0.6000000000000001,0.7000000000000001,963,0.6525813968855387,0.6469366562824507,0.005644740603088061,sv_jump,1.0
ewma_student_t,504,0.7000000000000001,0.8,1098,0.7518260636702888,0.7395264116575592,0.012299652012729645,sv_jump,1.0
ewma_student_t,504,0.8,0.9,1547,0.8537586517937193,0.8209437621202327,0.03281488967348667,sv_jump,1.0
ewma_student_t,504,0.9,1.0,5499,0.9708697001490388,0.9599927259501727,0.01087697419886613,sv_jump,1.0
ewma_trunc_student_t,63,0.0,0.1,111,0.07540744243893292,0.05405405405405406,0.021353388384878866,sv_jump,1.0
ewma_trunc_student_t,63,0.1,0.2,723,0.1610399770764387,0.16459197786998617,-0.0035520007935474773,sv_jump,1.0
ewma_trunc_student_t,63,0.2,0.30000000000000004,1783,0.25611517763707337,0.2607964105440269,-0.0046812329069535474,sv_jump,1.0
ewma_trunc_student_t,63,0.30000000000000004,0.4,3130,0.3535510817849517,0.36134185303514377,-0.007790771250192063,sv_jump,1.0
ewma_trunc_student_t,63,0.4,0.5,4206,0.45110092268033436,0.44436519258202567,0.00673573009830869,sv_jump,1.0
ewma_trunc_student_t,63,0.5,0.6000000000000001,4238,0.5484343799688772,0.5493157149598867,-0.0008813349910095081,sv_jump,1.0
ewma_trunc_student_t,63,0.6000000000000001,0.7000000000000001,3186,0.6467620416156143,0.6415568110483365,0.005205230567277841,sv_jump,1.0
ewma_trunc_student_t,63,0.7000000000000001,0.8,1803,0.7444347248586138,0.7298946200776484,0.014540104780965457,sv_jump,1.0
ewma_trunc_student_t,63,0.8,0.9,715,0.8419949430045567,0.8671328671328671,-0.025137924128310396,sv_jump,1.0
ewma_trunc_student_t,63,0.9,1.0,105,0.9293997994441653,0.9714285714285714,-0.04202877198440613,sv_jump,1.0
ewma_trunc_student_t,126,0.0,0.1,981,0.056697733615650836,0.07849133537206932,-0.02179360175641848,sv_jump,1.0
ewma_trunc_student_t,126,0.1,0.2,1642,0.15283251086140368,0.17722289890377588,-0.024390388042372202,sv_jump,1.0
ewma_trunc_student_t,126,0.2,0.30000000000000004,2117,0.2513530622706483,0.2843646669815777,-0.0330116047109294,sv_jump,1.0
ewma_trunc_student_t,126,0.30000000000000004,0.4,2465,0.3508001952330281,0.35740365111561867,-0.006603455882590592,sv_jump,1.0
ewma_trunc_student_t,126,0.4,0.5,2725,0.4499238479614894,0.4521100917431193,-0.002186243781629904,sv_jump,1.0
ewma_trunc_student_t,126,0.5,0.6000000000000001,2779,0.5501821589320424,0.5340050377833753,0.016177121148667095,sv_jump,1.0
ewma_trunc_student_t,126,0.6000000000000001,0.7000000000000001,2559,0.6474124743827708,0.6354044548651817,0.012008019517589119,sv_jump,1.0
ewma_trunc_student_t,126,0.7000000000000001,0.8,2062,0.7480787019052049,0.7347235693501455,0.013355132555059379,sv_jump,1.0
