detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,brier
ewma_trunc_gaussian,252,0.30000000000000004,0.4,1673,0.349043940600726,0.3831440526001195,-0.0341001119993935,sv_jump,0.18958019321561306
ewma_trunc_gaussian,252,0.4,0.5,1601,0.4490347220967427,0.4547158026233604,-0.005681080526617699,sv_jump,0.18958019321561306
ewma_trunc_gaussian,252,0.5,0.6000000000000001,1701,0.5500181752599274,0.5267489711934157,0.023269204066511673,sv_jump,0.18958019321561306
ewma_trunc_gaussian,252,0.6000000000000001,0.7000000000000001,1728,0.6509703207082046,0.5925925925925926,0.05837772811561204,sv_jump,0.18958019321561306
ewma_trunc_gaussian,252,0.7000000000000001,0.8,1703,0.7505198988575918,0.6770405167351732,0.07347938212241867,sv_jump,0.18958019321561306
ewma_trunc_gaussian,252,0.8,0.9,1950,0.8515310682425318,0.7748717948717949,0.07665927337073686,sv_jump,0.18958019321561306
ewma_trunc_gaussian,252,0.9,1.0,2973,0.95821534026842,0.8866464850319542,0.07156885523646583,sv_jump,0.18958019321561306
ewma_trunc_gaussian,504,0.0,0.1,5460,0.02839251822910874,0.09835164835164835,-0.06995913012253961,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.1,0.2,1579,0.14606354843007738,0.2305256491450285,-0.08446210071495111,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.2,0.30000000000000004,1151,0.24761792484865586,0.3344917463075586,-0.08687382145890277,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.30000000000000004,0.4,941,0.3502328840873579,0.3846971307120085,-0.034464246624650585,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.4,0.5,866,0.44958967858444304,0.46420323325635104,-0.014613554671908002,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.5,0.6000000000000001,897,0.5498182612714778,0.5117056856187291,0.038112575652748726,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.6000000000000001,0.7000000000000001,957,0.6507549360035872,0.593521421107628,0.05723351489595929,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.7000000000000001,0.8,1092,0.7529967505936236,0.684981684981685,0.0680150656119386,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.8,0.9,1570,0.8533740877889068,0.7643312101910829,0.08904287759782392,sv_jump,0.1481008743648434
ewma_trunc_gaussian,504,0.9,1.0,5487,0.9719099279986338,0.9066885365409149,0.06522139145771899,sv_jump,0.1481008743648434
ewma_trunc_student_t,63,0.0,0.1,123,0.0728119216788066,0.032520325203252036,0.04029159647555456,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.1,0.2,726,0.16199457364065076,0.14738292011019283,0.01461165353045793,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.2,0.30000000000000004,1760,0.25607871792319814,0.25113636363636366,0.004942354286834483,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.30000000000000004,0.4,3240,0.3533523137108053,0.36419753086419754,-0.010845217153392261,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.4,0.5,4171,0.45053206654504835,0.4497722368736514,0.0007598296713969277,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.5,0.6000000000000001,4232,0.5485811098510428,0.5569470699432892,-0.008365960092246438,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.6000000000000001,0.7000000000000001,3145,0.6465228614703185,0.6368839427662957,0.00963891870402278,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.7000000000000001,0.8,1767,0.743797051534337,0.7436332767402377,0.00016377479409923623,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.8,0.9,707,0.8394915355083552,0.8444130127298444,-0.004921477221489168,sv_jump,0.21965182134138062
ewma_trunc_student_t,63,0.9,1.0,129,0.9229450940791352,0.9302325581395349,-0.0072874640603997065,sv_jump,0.21965182134138062
ewma_trunc_student_t,126,0.0,0.1,1029,0.05618391072975006,0.07191448007774538,-0.01573056934799532,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.1,0.2,1622,0.15313078020334167,0.16646115906288533,-0.013330378859543662,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.2,0.30000000000000004,2157,0.2513322650401923,0.2707464070468243,-0.019414142006631996,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.30000000000000004,0.4,2467,0.3509516371294468,0.3631941629509526,-0.012242525821505756,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.4,0.5,2770,0.45027752993750153,0.459927797833935,-0.009650267896433473,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.5,0.6000000000000001,2716,0.549002310003492,0.5526509572901326,-0.003648647286640605,sv_jump,0.19683203308724442
