detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario
ewma_gaussian,126,0.9,1.0,33,0.9166358218357725,0.9090909090909091,0.007544912744863463,gaussian
ewma_gaussian,252,0.0,0.1,373,0.06966166215014176,0.08042895442359249,-0.010767292273450732,gaussian
ewma_gaussian,252,0.1,0.2,910,0.15436260753475878,0.1879120879120879,-0.03354948037732913,gaussian
ewma_gaussian,252,0.2,0.30000000000000004,1176,0.2517573485579293,0.2789115646258503,-0.02715421606792101,gaussian
ewma_gaussian,252,0.30000000000000004,0.4,1262,0.3499764321992436,0.3795562599049128,-0.029579827705669193,gaussian
ewma_gaussian,252,0.4,0.5,1311,0.45036025258621576,0.4477498093058734,0.0026104432803423783,gaussian
ewma_gaussian,252,0.5,0.6000000000000001,1304,0.5493083092933526,0.5368098159509203,0.01249849334243236,gaussian
ewma_gaussian,252,0.6000000000000001,0.7000000000000001,1251,0.6496814212293676,0.6402877697841727,0.009393651445194884,gaussian
ewma_gaussian,252,0.7000000000000001,0.8,1187,0.7484153930356151,0.7329401853411963,0.015475207694418791,gaussian
ewma_gaussian,252,0.8,0.9,914,0.8469528629973806,0.8150984682713348,0.03185439472604579,gaussian
ewma_gaussian,252,0.9,1.0,312,0.9295801343537244,0.9262820512820513,0.003298083071673119,gaussian
ewma_gaussian,504,0.0,0.1,1245,0.05324620457837476,0.0642570281124498,-0.01101082353407503,gaussian
ewma_gaussian,504,0.1,0.2,1121,0.1492717885401926,0.1703835860838537,-0.021111797543661104,gaussian
ewma_gaussian,504,0.2,0.30000000000000004,948,0.24851704905304495,0.3090717299578059,-0.06055468090476096,gaussian
ewma_gaussian,504,0.30000000000000004,0.4,852,0.34866020502111067,0.35563380281690143,-0.006973597795790765,gaussian
ewma_gaussian,504,0.4,0.5,879,0.45092831029513747,0.45164960182025027,-0.0007212915251127994,gaussian
ewma_gaussian,504,0.5,0.6000000000000001,813,0.5483183141957624,0.5485854858548586,-0.000267171659096177,gaussian
ewma_gaussian,504,0.6000000000000001,0.7000000000000001,850,0.6503893704464068,0.6376470588235295,0.012742311622877311,gaussian
ewma_gaussian,504,0.7000000000000001,0.8,965,0.7518020029547855,0.7305699481865285,0.021232054768256958,gaussian
ewma_gaussian,504,0.8,0.9,1100,0.8513695711252951,0.8209090909090909,0.030460480216204178,gaussian
ewma_gaussian,504,0.9,1.0,1227,0.9471233901115115,0.9290953545232273,0.01802803558828414,gaussian
ewma_student_t,126,0.0,0.1,95,0.07853329331649327,0.15789473684210525,-0.07936144352561199,gaussian
ewma_student_t,126,0.1,0.2,586,0.15892334703752958,0.2167235494880546,-0.05780020245052503,gaussian
ewma_student_t,126,0.2,0.30000000000000004,1113,0.25345236303874336,0.32075471698113206,-0.0673023539423887,gaussian
ewma_student_t,126,0.30000000000000004,0.4,1561,0.3518163766182013,0.3901345291479821,-0.03831815252978077,gaussian
ewma_student_t,126,0.4,0.5,1699,0.44898417470067,0.45909358446144793,-0.010109409760777954,gaussian
ewma_student_t,126,0.5,0.6000000000000001,1650,0.550364808611282,0.536969696969697,0.013395111641585022,gaussian
ewma_student_t,126,0.6000000000000001,0.7000000000000001,1481,0.647526654763274,0.6171505739365294,0.03037608082674459,gaussian
ewma_student_t,126,0.7000000000000001,0.8,1149,0.7443987211998387,0.6945169712793734,0.049881749920465346,gaussian
ewma_student_t,126,0.8,0.9,568,0.8391290631934599,0.7535211267605634,0.08560793643289655,gaussian
ewma_student_t,126,0.9,1.0,98,0.9226889127667988,0.8775510204081632,0.04513789235863552,gaussian
