scenario,far_target,kind,sharpe_valid,method_a,method_b,point,lo,hi,excludes_zero,n_reps,interval_type,resampling,note
sv_ctrl,0.05,far_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.0020999999999999977,-0.0044,0.0097,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.15,detection_diff,1.0,ewma_student_t,binary_student_t,0.0648999999999999,0.0527,0.0780999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.15,detection_diff,0.6,ewma_student_t,binary_student_t,0.0563,0.0424999999999999,0.0726,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.15,gain_change_with_s,0.6-1,ewma_student_t,binary_student_t,-0.0085999999999999,-0.0212025,0.0055999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_ctrl,0.15,detection_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0005,-0.001,0.0021999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.15,detection_diff,0.6,ewma_trunc_student_t,ewma_student_t,0.0005,-0.0021999999999999,0.0023,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.15,gain_change_with_s,0.6-1,ewma_trunc_student_t,ewma_student_t,-5.551115123125783e-17,-0.0032025,0.0024,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_ctrl,0.15,detection_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.1609,0.14369,0.1771,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.15,detection_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.1172,0.0970924999999999,0.1351025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.15,gain_change_with_s,0.6-1,ewma_trunc_student_t,trailing_sharpe_252,-0.0437,-0.0588025,-0.031,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_ctrl,0.15,far_diff,1.0,ewma_student_t,binary_student_t,-0.0032999999999999974,-0.0129999999999999,0.0058,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.15,far_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.00019999999999997797,-0.0010999999999999,0.0015999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.15,far_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,-0.003300000000000025,-0.0149024999999999,0.0071999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.15,far_diff,0.6,ewma_student_t,binary_student_t,-0.007200000000000012,-0.0174999999999999,0.0040999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.15,far_diff,0.6,ewma_trunc_student_t,ewma_student_t,-0.0002999999999999947,-0.0015999999999999,0.0016,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.15,far_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,-0.001799999999999996,-0.0148999999999999,0.0100999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.05,detection_diff,1.0,ewma_student_t,binary_student_t,-0.0161,-0.0252,-0.0003975,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.05,detection_diff,0.6,ewma_student_t,binary_student_t,0.0004,-0.0083,0.0098,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.05,gain_change_with_s,0.6-1,ewma_student_t,binary_student_t,0.0165,0.0019974999999999,0.0248999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
jump_ctrl,0.05,detection_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0063999999999999,-0.0020999999999999,0.0109,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.05,detection_diff,0.6,ewma_trunc_student_t,ewma_student_t,0.0032999999999999,-0.0037999999999999,0.0076024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.05,gain_change_with_s,0.6-1,ewma_trunc_student_t,ewma_student_t,-0.0030999999999999,-0.0099999999999999,0.0048,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
jump_ctrl,0.05,detection_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.0645999999999999,0.0447,0.0812999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.05,detection_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.0307,0.0160975,0.0448,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.05,gain_change_with_s,0.6-1,ewma_trunc_student_t,trailing_sharpe_252,-0.0338999999999999,-0.0450999999999999,-0.0204,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
jump_ctrl,0.05,far_diff,1.0,ewma_student_t,binary_student_t,0.0015999999999999973,-0.0017024999999999,0.0054999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.05,far_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0011000000000000038,-0.0017999999999999,0.0027024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.05,far_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.0030999999999999986,-0.0038999999999999,0.0093024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.05,far_diff,0.6,ewma_student_t,binary_student_t,0.0017000000000000001,-0.0025999999999999,0.0052999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
