detector,detector_label,role,statistic,far_target,threshold,first_eligible_day,n_calibration_paths,calibration_far,n_test_valid_paths,n_test_invalid_paths,far_d126,far_d126_lo,far_d126_hi,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,far_d252_lo,far_d252_hi,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,far_d504_lo,far_d504_hi,detect_d504,detect_d504_lo,detect_d504_hi,undetected_at_H,undetected_at_H_lo,undetected_at_H_hi,trunc_mean_detect_days,trunc_mean_detect_days_se,trunc_mean_detect_years,trunc_mean_detect_years_se,median_detect_days,median_detect_note,trunc_mean_valid_days,trunc_mean_valid_days_se,scenario,arm
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.15,-1.3326385255852278,1,0,,5000,5000,0.0258,0.021756298207420387,0.030571790317271794,0.095,0.0871807381378733,0.10344110043762297,0.0854,0.07796818722567767,0.09346839122716372,0.3096,0.29693539380251965,0.3225569470981582,0.16,0.15009995217412261,0.17042208514851628,0.5842,0.5704793375922729,0.5977913814001797,0.4158,0.4022086185998205,0.42952066240772724,358.2588,2.1714888526721605,1.4216619047619048,0.008617019256635558,405,,464.5174,1.4546238570713435,jump,frozen_stage1
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.15,-1.6298647958352264,1,0,,5000,5000,0.0172,0.013949219247445802,0.021192073750701364,0.0898,0.08218723673405676,0.09804258594166812,0.0668,0.06020671680947418,0.0740584201557233,0.2904,0.27798217534696057,0.3031396453084074,0.1312,0.12212428957728919,0.140841967377385,0.5716,0.5578339845281856,0.5852560805532824,0.4284,0.41474391944671773,0.44216601547181456,364.2022,2.138720731723911,1.4452468253968254,0.00848698703065044,421,,472.3442,1.3010399864267261,jump,frozen_stage1
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.15,-0.9563196100975437,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0272,0.02304132562570655,0.03208461333353947,0.171,0.16081741923937043,0.18168772864047722,0.156,0.1462068307898327,0.16632134814836663,0.5534,0.539584462301987,0.567133547130281,0.4466,0.43286645286971914,0.460415537698013,402.0208,1.5300592569367852,1.595320634920635,0.006071663718003116,449,,479.0474,0.9369752051975714,jump,frozen_stage1
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.15,-0.9526744379801403,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0262,0.022123116236859242,0.031004358126276898,0.167,0.15691827856884252,0.17759301092656557,0.1612,0.1512683295949322,0.1716518652430386,0.5456,0.5317689649915194,0.5593610205910913,0.4544,0.44063897940890867,0.4682310350084807,403.2,1.5301619127059134,1.5999999999999999,0.006072071082166323,456,,478.2762,0.9488327352193772,jump,frozen_stage1
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.05,-1.924226671392082,1,5000,0.05,5000,5000,0.0016,0.0008109751397282834,0.0031542701591046594,0.0156,0.01251823713404905,0.01942551251032229,0.0166,0.013411609285621018,0.020530604954860213,0.1194,0.11070306335447491,0.12868131136610259,0.0562,0.05015038614349224,0.06293102610294048,0.3824,0.3690249000828979,0.39595566341457966,0.6176,0.6040443365854204,0.6309750999171022,431.7848,1.6153314572976616,1.713431746031746,0.006410045465466911,,not reached within the 504-day horizon,493.6666,0.6935501216510948,jump,recalibrated
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.05,-2.2067408475905372,1,5000,0.05,5000,5000,0.0012,0.0005500831677591556,0.002615776292629832,0.0166,0.013411609285621018,0.020530604954860213,0.017,0.013769889061235687,0.020971711017689503,0.1362,0.12697151425858694,0.14598706567663666,0.053,0.04712629144933971,0.059560034089541365,0.396,0.3825288854414339,0.4096307965631381,0.604,0.5903692034368618,0.6174711145585662,426.7372,1.6758247476836559,1.6934015873015873,0.0066500982050938726,,not reached within the 504-day horizon,493.894,0.6906924959957252,jump,recalibrated
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.05,-1.4561877796955467,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0066,0.0047035107132362645,0.009254057566146109,0.0692,0.06249097415276718,0.07657047784309402,0.0554,0.04939380209328447,0.06208883847626034,0.3298,0.3169036241285847,0.34295770161351274,0.6702,0.6570422983864873,0.6830963758714154,448.8328,1.292661705044571,1.7810825396825398,0.005129609940653059,,not reached within the 504-day horizon,496.0688,0.5358765585927507,jump,recalibrated
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.05,-1.4684201994436261,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0064,0.004537188108410646,0.009020687251749749,0.0692,0.06249097415276718,0.07657047784309402,0.056,0.0499612059948101,0.06272051333240064,0.3226,0.3097830489915969,0.33568933165850945,0.6774,0.6643106683414907,0.6902169510084032,450.3202,1.281031171581907,1.7869849206349206,0.0050834570300869325,,not reached within the 504-day horizon,496.0062,0.5353818067956826,jump,recalibrated
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.15,-1.3040702488272848,1,5000,0.15,5000,5000,0.0306,0.02617468348435616,0.03574603510166348,0.103,0.09487734390886228,0.11173221143551308,0.0916,0.08391488273466796,0.09991217621405471,0.3226,0.3097830489915969,0.33568933165850945,0.1672,0.15711318545729674,0.17779779695733328,0.5962,0.5825310638097823,0.6097212303359887,0.4038,0.39027876966401126,0.4174689361902178,353.3114,2.1948658759137536,1.4020293650793652,0.008709785221879974,393,,461.907,1.5064032661807634,jump,recalibrated
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.15,-1.4985770259242313,1,5000,0.15,5000,5000,0.0266,0.022490203302556452,0.031436656899023634,0.1206,0.11186331191648984,0.1299192203194195,0.0896,0.08199533469929988,0.09783479505720301,0.3384,0.3254132758065941,0.3516348454620483,0.1634,0.15341087371663079,0.17390594323278172,0.6138,0.6002222300080855,0.6272030410292195,0.3862,0.3727969589707805,0.39977776999191456,345.7744,2.225210743614793,1.372120634920635,0.008830201363550765,373,,462.7934,1.4884560737840793,jump,recalibrated
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.15,-0.9706352190994016,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0268,0.022673845890277048,0.03165270723052502,0.1668,0.15672337701155417,0.17738821956463194,0.1512,0.14153814880159998,0.16139740007527192,0.5484,0.5345741348374085,0.5621515516143101,0.4516,0.43784844838569004,0.46542586516259155,402.954,1.5275240367131864,1.5990238095238096,0.006061603320290422,453,,479.9496,0.9212023527558668,jump,recalibrated
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.15,-0.9723754272459455,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0248,0.020840470557508064,0.029489153371074234,0.1622,0.15224213050442784,0.17267652892965282,0.1546,0.14484478173591275,0.1648855467677327,0.5386,0.5247579621638424,0.5523827712459991,0.4614,0.4476172287540009,0.4752420378361576,404.9298,1.5251784578394922,1.6068642857142856,0.006052295467617033,463,,479.4784,0.9285753588844717,jump,recalibrated
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.05,-1.9580427014642785,1,0,,5000,5000,0.01,0.007593772813946567,0.013158575092209418,0.0252,0.021206588938665706,0.029922420828360545,0.0264,0.022306626510353804,0.031220540772004313,0.1084,0.10008156352845778,0.11731970063491097,0.0572,0.0510966231678006,0.063983253674742,0.3368,0.3238297162042462,0.35002086171062047,0.6632,0.6499791382893795,0.6761702837957538,439.1382,1.6128138559234824,1.7426119047619046,0.006400054983823343,,not reached within the 504-day horizon,490.7032,0.8863387508330242,stoch_vol,frozen_stage1
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.05,-2.4118742355913088,1,0,,5000,5000,0.001,0.00042721349110879964,0.002338953050058211,0.0064,0.004537188108410646,0.009020687251749749,0.0066,0.0047035107132362645,0.009254057566146109,0.077,0.06993103792508325,0.08471843792043508,0.0262,0.022123116236859242,0.031004358126276898,0.3236,0.3107718091286049,0.3366990361176113,0.6764,0.6633009638823887,0.6892281908713952,449.596,1.3833711360079723,1.7841111111111112,0.005489568000031636,,not reached within the 504-day horizon,499.4002,0.4666385735273721,stoch_vol,frozen_stage1
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.05,-1.4864721900694782,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.005,0.0033891014531031933,0.00737092347250336,0.0724,0.0655404134654297,0.07991612523798315,0.0426,0.03734452469569485,0.04855776904364341,0.32,0.3072125900887463,0.33306378261147435,0.68,0.6669362173885257,0.6927874099112538,449.7338,1.2909027978584227,1.7846579365079365,0.005122630150231836,,not reached within the 504-day horizon,497.3318,0.5083869719167112,stoch_vol,frozen_stage1
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.05,-1.4701193512564792,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.011,0.008461172335733187,0.014289640166532683,0.0694,0.06268144029843477,0.07677970461664844,0.058,0.051854009739711444,0.06482463877971908,0.2772,0.26496757106874524,0.2897745169179723,0.7228,0.7102254830820278,0.7350324289312549,456.2828,1.2405787891054707,1.8106460317460318,0.004922931702799487,,not reached within the 504-day horizon,494.886,0.5937730156202922,stoch_vol,frozen_stage1
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.15,-1.3326385255852278,1,0,,5000,5000,0.036,0.031182316090153147,0.041530111314859876,0.0904,0.0827630136164552,0.0986658878169356,0.0802,0.07298997275947985,0.0880545897935901,0.2798,0.26753000858176296,0.2924080873548403,0.138,0.12871757414077317,0.14783824206744828,0.5642,0.5504115823990229,0.5778898446712318,0.4358,0.4221101553287683,0.44958841760097723,366.9876,2.153997657944429,1.4563,0.008547609753747734,430,,467.1952,1.4823968292815162,stoch_vol,frozen_stage1
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.15,-1.6298647958352264,1,0,,5000,5000,0.0144,0.011450945038477642,0.01809464709056184,0.0634,0.0569750881353032,0.07049526920312069,0.0478,0.042225787297577644,0.05406852234153203,0.2696,0.2574803766111619,0.2820733804451205,0.093,0.08525925317287317,0.10136565621040333,0.5688,0.555025141263092,0.5824692229492681,0.4312,0.41753077705073194,0.4449748587369081,372.2094,2.047817663212317,1.4770214285714287,0.008126260568302844,432,,481.694,1.118177542702142,stoch_vol,frozen_stage1
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.15,-0.9563196100975437,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0228,0.019014392098388816,0.02731830263797371,0.1738,0.16354805475248238,0.18455279399647298,0.1282,0.11921809675434933,0.13775276641199521,0.5658,0.5520161620541378,0.5794828083698925,0.4342,0.4205171916301075,0.44798383794586205,401.2578,1.5214519220212657,1.592292857142857,0.006037507627068514,441,,483.7626,0.8584444965393672,stoch_vol,frozen_stage1
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.15,-0.9526744379801403,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0294,0.02506688068481259,0.03445568038587518,0.153,0.14328850563601445,0.16324427951385526,0.1332,0.12406265249698341,0.14290053364991057,0.5082,0.4943418491700087,0.5220455605180923,0.4918,0.47795443948190774,0.5056581508299913,412.2566,1.5042620490295002,1.6359388888888888,0.00596929384535516,496,,482.6824,0.8819901401770169,stoch_vol,frozen_stage1
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.05,-2.034543654951783,1,5000,0.05,5000,5000,0.008,0.005880681725099649,0.010874736988836564,0.0222,0.018468128073239217,0.02666548790545738,0.0236,0.01974389149873783,0.028187574914512604,0.0962,0.08833415715201101,0.10468583893881711,0.0506,0.044862312290198145,0.0570276982180192,0.3132,0.300492038086756,0.3261947753599173,0.6868,0.6738052246400826,0.6995079619132439,444.809,1.5510128406839168,1.7651150793650794,0.0061548128598568124,,not reached within the 504-day horizon,492.3206,0.8280066920891574,stoch_vol,recalibrated
