scenario,sharpe_valid,method,far_target,threshold_calibrated_over,threshold,far_at_own_H,detect_at_own_H,n_test_valid,note,far_extended_to_d63,detect_extended_to_d63,far_extended_to_d126,detect_extended_to_d126,far_extended_to_d252,detect_extended_to_d252,far_extended_to_d504,detect_extended_to_d504
gaussian_ctrl,0.6,ewma_student_t,0.05,252,-1.3480734034959663,0.0402,0.1149,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0002,0.0007,0.0072,0.016,0.0402,0.1149,0.1147,0.3133
gaussian_ctrl,0.6,ewma_student_t,0.15,63,-0.491917371820382,0.1387,0.2049,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1387,0.2049,0.2671,0.3986,0.3983,0.5892,0.5031,0.7449
gaussian_ctrl,0.6,ewma_student_t,0.15,126,-0.6860533601322865,0.1349,0.2371,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.043,0.0782,0.1349,0.2371,0.254,0.4448,0.3722,0.6399
gaussian_ctrl,0.6,ewma_student_t,0.15,252,-0.9323414066890794,0.1354,0.2861,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0069,0.0165,0.0492,0.1012,0.1354,0.2861,0.2458,0.5094
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,63,-0.6993481800729411,0.0389,0.0734,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0389,0.0734,0.1281,0.2276,0.2454,0.4362,0.3641,0.6333
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,126,-0.9621832971170412,0.0448,0.0913,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0058,0.0133,0.0448,0.0913,0.1261,0.2697,0.2345,0.4939
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,252,-1.3480734034959663,0.0401,0.1149,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0002,0.0007,0.0072,0.016,0.0401,0.1149,0.1146,0.3134
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,63,-0.4920361531722275,0.1386,0.2049,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1386,0.2049,0.2672,0.3987,0.3976,0.5892,0.5029,0.7447
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,126,-0.6861951135156232,0.1347,0.237,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0431,0.0782,0.1347,0.237,0.2539,0.445,0.3721,0.64
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,252,-0.9323738704677047,0.1356,0.2862,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0069,0.0165,0.0493,0.1015,0.1356,0.2862,0.2459,0.5095
sv_jump,1.0,binary_gaussian,0.05,63,-0.9431677733559306,0.0401,0.0731,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0401,0.0731,0.0936,0.2251,0.1679,0.4723,0.2487,0.7143
sv_jump,1.0,binary_gaussian,0.05,126,-1.2613939395685876,0.0445,0.1098,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0152,0.0243,0.0445,0.1098,0.0931,0.3161,0.1574,0.5981
sv_jump,1.0,binary_gaussian,0.05,252,-1.6764316890392208,0.0421,0.1672,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0043,0.0076,0.0161,0.0406,0.0421,0.1672,0.0885,0.4456
sv_jump,1.0,binary_gaussian,0.15,63,-0.5785334301671526,0.1361,0.2335,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1361,0.2335,0.2341,0.4543,0.3318,0.6798,0.4165,0.84
