scenario,sharpe_valid,far_target,method,cutoff_H,n_paired_paths,trunc_time_B,trunc_time_A,trunc_time_diff_days,lo,hi,excludes_zero,truncation_cap_days,interval_covers
gaussian_ctrl,0.6,0.15,binary_student_t,63,10000,58.4014,62.9944,-4.593,-4.807285385942873,-4.378714614057127,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,binary_student_t,126,10000,114.5638,125.3327,-10.7689,-11.22272055312541,-10.315079446874591,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,binary_student_t,252,10000,223.0344,240.9655,-17.9311,-18.691416902006498,-17.170783097993503,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,binary_student_t,504,10000,428.4459,428.4459,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_student_t,63,10000,58.3948,62.9912,-4.5964,-4.80985525669194,-4.38294474330806,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_student_t,126,10000,114.8206,125.3845,-10.5639,-11.012161813377514,-10.115638186622487,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_student_t,252,10000,223.5075,241.4665,-17.959,-18.72374362939306,-17.19425637060694,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_student_t,504,10000,430.7104,430.7104,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_trunc_student_t,63,10000,58.3922,62.9911,-4.5989,-4.812389191463448,-4.385410808536553,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_trunc_student_t,126,10000,114.8167,125.3844,-10.5677,-11.016002564378947,-10.119397435621053,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_trunc_student_t,252,10000,223.482,241.4591,-17.9771,-18.74227129213138,-17.21192870786862,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,ewma_trunc_student_t,504,10000,430.6262,430.6262,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_gaussian,63,10000,61.4564,62.9745,-1.5181,-1.6467790360772423,-1.3894209639227577,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_gaussian,126,10000,121.6828,125.5784,-3.8956,-4.170774065882651,-3.6204259341173493,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_gaussian,252,10000,238.1208,246.6201,-8.4993,-9.02492796391788,-7.97367203608212,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_gaussian,504,10000,454.0461,454.0461,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_student_t,63,10000,61.0481,62.9977,-1.9496,-2.084070623648203,-1.815129376351797,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_student_t,126,10000,119.8058,125.6597,-5.8539,-6.172865721091272,-5.534934278908729,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_student_t,252,10000,230.9747,242.9081,-11.9334,-12.488728270696399,-11.378071729303603,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,binary_student_t,504,10000,418.5918,418.5918,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_student_t,63,10000,60.5618,62.9872,-2.4254,-2.558353527213089,-2.2924464727869105,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_student_t,126,10000,116.4675,124.397,-7.9295,-8.279704736932665,-7.579295263067336,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_student_t,252,10000,217.5886,231.6103,-14.0217,-14.637919807986526,-13.405480192013473,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_student_t,504,10000,378.5753,378.5753,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_trunc_student_t,63,10000,60.528,62.9914,-2.4634,-2.595636160591241,-2.331163839408759,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_trunc_student_t,126,10000,116.4945,124.395,-7.9005,-8.24620981943163,-7.554790180568369,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_trunc_student_t,252,10000,215.988,230.8225,-14.8345,-15.465579363298652,-14.203420636701349,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.05,ewma_trunc_student_t,504,10000,374.0929,374.0929,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_gaussian,63,10000,56.8238,62.6778,-5.854,-6.108605401191562,-5.599394598808439,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_gaussian,126,10000,109.769,122.7704,-13.0014,-13.499924340563526,-12.502875659436475,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_gaussian,252,10000,207.8843,226.559,-18.6747,-19.437270947651676,-17.912129052348327,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_gaussian,504,10000,370.6486,370.6486,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_student_t,63,10000,55.8766,62.6793,-6.8027,-7.058376373851663,-6.547023626148336,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_student_t,126,10000,105.132,120.7992,-15.6672,-16.17288089168455,-15.16151910831545,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_student_t,252,10000,190.2767,211.4536,-21.1769,-21.936662809308682,-20.417137190691317,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,binary_student_t,504,10000,319.691,319.691,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_student_t,63,10000,55.5519,62.6338,-7.0819,-7.322111648442687,-6.8416883515573135,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_student_t,126,10000,103.1736,118.2032,-15.0296,-15.50892534454783,-14.55027465545217,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_student_t,252,10000,182.6067,200.3491,-17.7424,-18.453276044107906,-17.031523955892094,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_student_t,504,10000,291.555,291.555,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_trunc_student_t,63,10000,55.5683,62.6868,-7.1185,-7.35703902699952,-6.87996097300048,True,63,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_trunc_student_t,126,10000,103.1041,118.0584,-14.9543,-15.425563151017826,-14.483036848982174,True,126,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_trunc_student_t,252,10000,181.3133,198.9541,-17.6408,-18.34791707051034,-16.933682929489656,True,252,"test sampling only, thresholds frozen"
sv_jump,1.0,0.15,ewma_trunc_student_t,504,10000,287.24,287.24,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_gaussian,63,10000,61.8213,62.9871,-1.1658,-1.279784489777032,-1.0518155102229678,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_gaussian,126,10000,123.111,125.7958,-2.6848,-2.9206460819875475,-2.4489539180124527,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_gaussian,252,10000,243.9102,249.6685,-5.7583,-6.207425817984303,-5.309174182015697,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_gaussian,504,10000,479.558,479.558,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_student_t,63,10000,61.7128,62.9988,-1.286,-1.395266035586447,-1.176733964413553,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_student_t,126,10000,122.6482,125.9261,-3.2779,-3.5214412095238985,-3.034358790476101,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_student_t,252,10000,242.4361,249.4815,-7.0454,-7.500698368797414,-6.590101631202586,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,binary_student_t,504,10000,468.5854,468.5854,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_student_t,63,10000,61.6786,63.0,-1.3214,-1.418466223911693,-1.2243337760883068,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_student_t,126,10000,121.4346,125.6796,-4.245,-4.506209111865907,-3.9837908881340933,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_student_t,252,10000,236.4261,245.9323,-9.5062,-10.04921718172721,-8.96318281827279,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_student_t,504,10000,450.3172,450.3172,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_trunc_student_t,63,10000,61.6706,63.0,-1.3294,-1.4256342445156938,-1.233165755484306,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_trunc_student_t,126,10000,121.2557,125.7071,-4.4514,-4.716273090013349,-4.18652690998665,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_trunc_student_t,252,10000,235.4804,245.6701,-10.1897,-10.745800335259217,-9.633599664740784,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.05,ewma_trunc_student_t,504,10000,448.5247,448.5247,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,binary_gaussian,63,10000,58.2047,62.864,-4.6593,-4.891300825873245,-4.427299174126755,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,binary_gaussian,126,10000,114.3444,124.5481,-10.2037,-10.662626156129559,-9.74477384387044,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,binary_gaussian,252,10000,223.5946,239.6559,-16.0613,-16.797537832000717,-15.32506216799928,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,binary_gaussian,504,10000,427.3164,427.3164,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
