scenario,sharpe_valid,method,true_state,day,n_paths,median_q,q10,q90,mean_q
sv_ctrl,0.6,binary_gaussian,invalid,63,10000,0.5115333585839794,0.42363074717203697,0.5957606334266585,0.5109624792030154
sv_ctrl,0.6,binary_gaussian,invalid,126,10000,0.5234493231086934,0.3966873089339072,0.6417012227010293,0.5208770931575886
sv_ctrl,0.6,binary_gaussian,invalid,252,10000,0.5438370787195546,0.36807085522373373,0.7101631018398471,0.5404786821607253
sv_ctrl,0.6,binary_gaussian,invalid,504,10000,0.5878001156097683,0.33532961642419057,0.8001864120203708,0.5772480710331376
sv_ctrl,0.6,binary_student_t,valid,63,10000,0.48501734229573956,0.3863760301573573,0.5854417589982502,0.48578128562806633
sv_ctrl,0.6,binary_student_t,valid,126,10000,0.4703216336145387,0.3341640878115298,0.6136303349218328,0.4722461363101169
sv_ctrl,0.6,binary_student_t,valid,252,10000,0.43776231741800453,0.25846475685644715,0.6435798944639105,0.4452869264411538
sv_ctrl,0.6,binary_student_t,valid,504,10000,0.3816048308104637,0.15991997158640175,0.6685435172314359,0.3994187290705379
sv_ctrl,0.6,binary_student_t,invalid,63,10000,0.5163901230303232,0.41310833232278976,0.6138681785518518,0.5142541732244176
sv_ctrl,0.6,binary_student_t,invalid,126,10000,0.5309252318252669,0.3846745762381715,0.6661049004296047,0.527649745781272
sv_ctrl,0.6,binary_student_t,invalid,252,10000,0.5578857713911265,0.3578605059683058,0.7377803318355933,0.5526520685563839
sv_ctrl,0.6,binary_student_t,invalid,504,10000,0.6155439899657781,0.33451630809592037,0.8324331482419355,0.5986441598389772
sv_ctrl,0.6,ewma_gaussian,valid,63,10000,0.48335331269465576,0.36758751613232693,0.594896133302382,0.48192747186584545
sv_ctrl,0.6,ewma_gaussian,valid,126,10000,0.46258214862432223,0.2834317085283128,0.6351906511359517,0.46121188425335874
sv_ctrl,0.6,ewma_gaussian,valid,252,10000,0.4155135975636023,0.1771527840792754,0.676981790990275,0.42308871943774395
sv_ctrl,0.6,ewma_gaussian,valid,504,10000,0.3310115906944227,0.07281056874681188,0.7122049109932528,0.3638350563231287
sv_ctrl,0.6,ewma_gaussian,invalid,63,10000,0.5175695700772331,0.39936591619281014,0.635593947465201,0.5174327000229784
sv_ctrl,0.6,ewma_gaussian,invalid,126,10000,0.5394647124735887,0.36431753607248,0.7194996489344522,0.5398356737798031
sv_ctrl,0.6,ewma_gaussian,invalid,252,10000,0.5797773702130886,0.32021159971146373,0.8290246980392606,0.5769705953450397
sv_ctrl,0.6,ewma_gaussian,invalid,504,10000,0.6731250423146202,0.2949593536738425,0.9268684957125471,0.6396375459455325
sv_ctrl,0.6,ewma_student_t,valid,63,10000,0.48050608775919035,0.3469137347895085,0.6085522115910846,0.4789606596665839
sv_ctrl,0.6,ewma_student_t,valid,126,10000,0.45850347191078333,0.2558333357776326,0.6492922092328761,0.455655462313474
sv_ctrl,0.6,ewma_student_t,valid,252,10000,0.40591284010962325,0.1534313596754613,0.6915966605685512,0.4148252231081122
sv_ctrl,0.6,ewma_student_t,valid,504,10000,0.3087054087111082,0.05810892000172314,0.7252235525650873,0.3519890498412807
sv_ctrl,0.6,ewma_student_t,invalid,63,10000,0.5212919409293955,0.3870125206513837,0.6569518674612997,0.5219430522568148
