scenario,method,true_state,day,n_paths,mean_q,median_q,q10,q90
sv_ctrl,ewma_trunc_student_t,invalid,504,10000,0.7795830294081091,0.902443248946593,0.32300395141338484,0.9972091431160761
jump_ctrl,binary_gaussian,valid,63,10000,0.4702971255239625,0.4696123322919358,0.31864637830634746,0.6226766703154415
jump_ctrl,binary_gaussian,valid,126,10000,0.44255537713313986,0.43680988823767786,0.2394904786034851,0.6571109112941902
jump_ctrl,binary_gaussian,valid,252,10000,0.39661236802652056,0.37411800203321444,0.14229404966568981,0.6884095323632105
jump_ctrl,binary_gaussian,valid,504,10000,0.32552905438527086,0.2682005852151815,0.0575500071661596,0.6986254496319745
jump_ctrl,binary_gaussian,invalid,63,10000,0.5305667348064117,0.5331884515661489,0.3766314102312098,0.6804248415939007
jump_ctrl,binary_gaussian,invalid,126,10000,0.556969064055625,0.5622311093891315,0.34385679933720487,0.7615269982295535
jump_ctrl,binary_gaussian,invalid,252,10000,0.6018840946085636,0.6198307021650895,0.31933097566233914,0.8544525403754152
jump_ctrl,binary_gaussian,invalid,504,10000,0.6746402141736421,0.7298898886768466,0.31062832294932374,0.9413941381996452
jump_ctrl,binary_student_t,valid,63,10000,0.4639971327643649,0.4628855005045932,0.2859168307224461,0.6443884013200648
jump_ctrl,binary_student_t,valid,126,10000,0.4319085571453803,0.42116707466594405,0.2003148930183705,0.6790616718210108
jump_ctrl,binary_student_t,valid,252,10000,0.380694741567582,0.35311255429267874,0.1070374087999969,0.7057710987504455
jump_ctrl,binary_student_t,valid,504,10000,0.30513149346184043,0.22750517385537572,0.03492338619536296,0.713076890406679
jump_ctrl,binary_student_t,invalid,63,10000,0.5356834543319681,0.5397270767823567,0.35999861571111386,0.7077018821288243
jump_ctrl,binary_student_t,invalid,126,10000,0.5660788834200399,0.5761687071149055,0.3238640052454022,0.7931811273473327
jump_ctrl,binary_student_t,invalid,252,10000,0.6179332199871814,0.6429350221197079,0.2986360752122015,0.8899411201869815
jump_ctrl,binary_student_t,invalid,504,10000,0.6967513350610015,0.7707428427918435,0.3003297206597483,0.963231039179485
jump_ctrl,ewma_gaussian,valid,63,10000,0.4675880919349185,0.465338735557284,0.2890392417402794,0.6509293488675957
jump_ctrl,ewma_gaussian,valid,126,10000,0.43682741092865746,0.4257832865229455,0.20022020801841645,0.6873995717623446
jump_ctrl,ewma_gaussian,valid,252,10000,0.3891796896815392,0.35699251386626385,0.10619934867865657,0.7274382747826665
jump_ctrl,ewma_gaussian,valid,504,10000,0.3178516382028493,0.23933207735348988,0.03394090985656216,0.7443766824117597
jump_ctrl,ewma_gaussian,invalid,63,10000,0.5343075642400014,0.5371736551032283,0.3544067926292005,0.7081268204246214
jump_ctrl,ewma_gaussian,invalid,126,10000,0.5629123621912552,0.57344451676883,0.3102928591187981,0.7972965653377406
jump_ctrl,ewma_gaussian,invalid,252,10000,0.609674593391945,0.6385720443308132,0.27944648425803525,0.8897648054602469
jump_ctrl,ewma_gaussian,invalid,504,10000,0.6830989819993979,0.7590248990303138,0.26392331723818324,0.9641351758910299
jump_ctrl,ewma_student_t,valid,63,10000,0.4625415471090602,0.460389962081016,0.2719912145810348,0.6580883199255332
jump_ctrl,ewma_student_t,valid,126,10000,0.4287563185242709,0.4159883736852631,0.181504395935037,0.6941631473952938
jump_ctrl,ewma_student_t,valid,252,10000,0.3775365791120528,0.34083755196362875,0.08988100724990895,0.7296422492209317
jump_ctrl,ewma_student_t,valid,504,10000,0.30311833432786955,0.211665950031536,0.025740702685817976,0.7379599467055166
jump_ctrl,ewma_student_t,invalid,63,10000,0.5376323868359604,0.5413010816569543,0.34848563221440165,0.7221160646240414
jump_ctrl,ewma_student_t,invalid,126,10000,0.5691990089882677,0.5796648340708492,0.3092355517971748,0.8121737869924994
jump_ctrl,ewma_student_t,invalid,252,10000,0.6218562176445215,0.654979072946318,0.27573217431946573,0.9081205144185279
jump_ctrl,ewma_student_t,invalid,504,10000,0.700531297833552,0.787251770409716,0.27669329237192336,0.9728299170006691
jump_ctrl,ewma_trunc_gaussian,valid,63,10000,0.46673538512086055,0.46474132349013797,0.2859118375517212,0.6512583897623675
