scenario,sharpe_valid,method,far_target,arm,cutoff_H,threshold_calibrated_over,threshold,working_prob_threshold,detect,detect_lo,detect_hi,far,far_lo,far_hi,expected_min_tau_H,expected_min_tau_H_se,undetected_at_H,median_first_alarm,median_note,truncation_cap_days,n_test_valid,n_test_invalid
gaussian_ctrl,0.6,binary_student_t,0.05,B,126,126,-0.9270991262144765,0.7164863906727748,0.0929,0.08736564713098761,0.09874700434241725,0.0422,0.03843221799684181,0.046319370911349675,122.8678,0.1216710840802782,0.9071,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.05,B,126,126,-0.9618065007443284,0.723483350843397,0.0915,0.08600482594391368,0.09730890072492909,0.0449,0.04101299418343707,0.04913652113355277,122.8688,0.12140449975703588,0.9085,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,B,126,126,-0.9621832971170412,0.7235587245661049,0.0913,0.08581045538072925,0.0971034248874618,0.0448,0.040917336190577636,0.04903225592608633,122.8714,0.12137651926935042,0.9087,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.05,B,252,252,-1.0496438385586173,0.7407065005447325,0.1286,0.12218121620068507,0.13530401778905346,0.0425,0.03871876165407628,0.04663259685509281,242.7098,0.29520056357207947,0.8714,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.05,B,252,252,-1.2783596092879694,0.782170416259512,0.123,0.11670712450661373,0.12958241026487644,0.0417,0.037954765678807054,0.0457972072277551,243.2811,0.2836549564037781,0.877,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.05,B,252,252,-1.3480734034959663,0.7938144747584474,0.1149,0.10879697941337563,0.1212987761317195,0.0402,0.03652333626057827,0.04422978864109592,243.855,0.27480190885237843,0.8851,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,B,252,252,-1.3480734034959663,0.7938144747584474,0.1149,0.10879697941337563,0.1212987761317195,0.0401,0.036427958323164145,0.04412524337818417,243.8487,0.27488076828813884,0.8851,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.05,B,504,504,-1.4391358210681409,0.808320792707858,0.1735,0.16620377042823345,0.18104698050781834,0.038,0.0344265516422164,0.04192826285228877,477.2455,0.7124345859648645,0.8265,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.05,B,504,504,-1.7169668171711805,0.8477377305618142,0.1704,0.16315774620510184,0.17789538552084813,0.0408,0.03709573835131741,0.04485692575231197,477.4259,0.7082553307108589,0.8296,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.05,B,504,504,-1.8326476605407196,0.8620768365286364,0.1606,0.15353429543290806,0.1679263626611072,0.038,0.0344265516422164,0.04192826285228877,479.7708,0.6765911352452302,0.8394,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,B,504,504,-1.8327151922932234,0.8620848658822867,0.1606,0.15353429543290806,0.1679263626611072,0.038,0.0344265516422164,0.04192826285228877,479.7797,0.6763117450914591,0.8394,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,A,63,504,-0.9782489587601149,0.7267606333482022,0.0024,0.0016133788093978356,0.0035687763690995114,0.0002,5.484892732085772e-05,0.0007289958440074673,62.9819,0.00531978091719017,0.9976,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.15,A,63,504,-1.2060058615975522,0.7695914694136325,0.0008,0.0004054337198968799,0.0015779502533866333,0.0004,0.00015556283662307484,0.0010281283353569795,62.9944,0.0030096128948716473,0.9992,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,A,63,504,-1.2681557083803576,0.7804268721382092,0.001,0.0005432859864972464,0.0018399443874379962,0.0004,0.00015556283662307484,0.0010281283353569795,62.9912,0.0038876429075646434,0.999,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,A,63,504,-1.2681557083803576,0.7804268721382092,0.001,0.0005432859864972464,0.0018399443874379962,0.0004,0.00015556283662307484,0.0010281283353569795,62.9911,0.003899179318771579,0.999,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,A,126,504,-0.9782489587601149,0.7267606333482022,0.0296,0.026454593750792676,0.03310667191633986,0.0096,0.007868298014665221,0.011708327587294383,125.194,0.0584963125492384,0.9704,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.15,A,126,504,-1.2060058615975522,0.7695914694136325,0.0259,0.022964183941872586,0.02919992331320296,0.0094,0.007688088248246492,0.011488690953061383,125.3327,0.05096941101372379,0.9741,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,A,126,504,-1.2681557083803576,0.7804268721382092,0.0253,0.02239965645785025,0.028564911595270106,0.0103,0.008500632273877465,0.012475455730363192,125.3845,0.048643011720687336,0.9747,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,A,126,504,-1.2681557083803576,0.7804268721382092,0.0253,0.02239965645785025,0.028564911595270106,0.0103,0.008500632273877465,0.012475455730363192,125.3844,0.04865676121610649,0.9747,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,A,252,504,-0.9782489587601149,0.7267606333482022,0.1588,0.15176773526473988,0.16609430522340982,0.056,0.051661752823658105,0.060679237729502705,239.6635,0.3453636842264083,0.8412,,not reached within 252d,252,10000,10000
