eval_year,rule,branch,A,rho,loss,rv21_component,acf_abs_component
2020,rolling3y,sv_only,1.6,0.94,1.5730109500920224,2.5502206487034598,0.5958012514805848
2020,rolling3y,sv_only,1.6,0.96,2.1951753126875406,3.438550786352735,0.9517998390223461
2020,rolling3y,sv_only,1.6,0.98,3.3646599537187347,4.608122272461589,2.12119763497588
2020,rolling3y,sv_only,1.6,0.99,4.223219787932724,5.5213544692680765,2.925085106597371
2020,rolling3y,sv_only,1.8,0.9,2.1106896535884556,3.322260470872466,0.8991188363044452
2020,rolling3y,sv_only,1.8,0.94,3.116632305652053,5.265441286429106,0.9678233248750001
2020,rolling3y,sv_only,1.8,0.96,4.046991245294304,6.672161295447061,1.4218211951415485
2020,rolling3y,sv_only,1.8,0.98,5.826523423870043,8.770594287437,2.882452560303086
2020,rolling3y,sv_only,1.8,0.99,6.9539509521090785,10.019227689186662,3.8886742150314944
2020,rolling3y,sv_only,2.0,0.9,3.753306077131146,6.362796365400373,1.143815788861919
2020,rolling3y,sv_only,2.0,0.94,5.3369207286420615,9.38327476741272,1.2905666898714019
2020,rolling3y,sv_only,2.0,0.96,6.814759675563153,11.79375904822133,1.8357603029049763
2020,rolling3y,sv_only,2.0,0.98,9.278047113494003,15.026434456987909,3.529659770000096
2020,rolling3y,sv_only,2.0,0.99,10.837986690642516,16.827509515690046,4.8484638655949865
2020,rolling3y,sv_jump,0.6,0.9,2.5786997756352177,1.8291001451609272,3.328299406109508
2020,rolling3y,sv_jump,0.6,0.94,2.295226952034674,1.6199862604868762,2.970467643582472
2020,rolling3y,sv_jump,0.6,0.96,2.151266373023087,1.5084687413261746,2.79406400472
2020,rolling3y,sv_jump,0.6,0.98,2.1012729052580705,1.3967091195769152,2.805836690939226
2020,rolling3y,sv_jump,0.6,0.99,2.272711986189729,1.4439504282938256,3.101473544085633
2020,rolling3y,sv_jump,0.8,0.9,1.6728948902265683,1.0603781077898653,2.285411672663271
2020,rolling3y,sv_jump,0.8,0.94,1.3292744437008446,0.8787838016294257,1.7797650857722633
2020,rolling3y,sv_jump,0.8,0.96,1.1770512464729608,0.7982446110429438,1.5558578819029776
2020,rolling3y,sv_jump,0.8,0.98,1.1328303652748435,0.6684712444396491,1.597189486110038
2020,rolling3y,sv_jump,0.8,0.99,1.413984041948366,0.7210907044509338,2.1068773794457982
2020,rolling3y,sv_jump,1.0,0.9,1.0040167482966205,0.5441250022841354,1.4639084943091056
2020,rolling3y,sv_jump,1.0,0.94,0.6599053992253487,0.41712248224794357,0.9026883162027538
2020,rolling3y,sv_jump,1.0,0.96,0.5513320866853761,0.395137337724778,0.7075268356459743
2020,rolling3y,sv_jump,1.0,0.98,0.6197648436671777,0.4170297854418523,0.8224999018925031
2020,rolling3y,sv_jump,1.0,0.99,0.9662019815208034,0.4869861088260005,1.4454178542156062
2020,rolling3y,sv_jump,1.2,0.9,0.6696583890012815,0.37145510118322567,0.9678616768193372
2020,rolling3y,sv_jump,1.2,0.94,0.43695549260231864,0.4745325514494663,0.39937843375517096
2020,rolling3y,sv_jump,1.2,0.96,0.4235924745277787,0.5855806467484741,0.2616043023070833
2020,rolling3y,sv_jump,1.2,0.98,0.6468697663587619,0.7868198620778428,0.506919670639681
2020,rolling3y,sv_jump,1.2,0.99,1.0240571440338018,0.9600159985209474,1.0880982895466562
2020,rolling3y,sv_jump,1.4,0.9,0.7163905640705985,0.6868022411704903,0.7459788869707067
2020,rolling3y,sv_jump,1.4,0.94,0.6744047825718675,1.15077677363231,0.198032791511425
