eval_year,rule,branch,method,statistic,real,sim_median,sim_p2.5,sim_p97.5
2020,expanding,sv_jump,fixed_baseline,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,0.0008863458914625649,-0.14869343090425302,0.15016935588409316
2020,expanding,sv_jump,fixed_baseline,concentration_max_exceed_63d,6.0,2.0,1.0,6.0
2021,rolling3y,sv_only,recalibrated,skewness,-0.3375554467009126,-0.0105846023300257,-1.6250498507405136,1.5803567979181625
2021,rolling3y,sv_only,recalibrated,excess_kurtosis,0.6622367077581108,3.8259706378402583,0.8862353700924467,17.448221972034474
2021,rolling3y,sv_only,recalibrated,tail_below_m2_count,9.0,7.0,4.0,12.0
2021,rolling3y,sv_only,recalibrated,tail_above_p2_count,4.0,7.0,4.0,11.0
2021,rolling3y,sv_only,recalibrated,tail_below_m3_count,2.0,2.0,0.0,5.0
2021,rolling3y,sv_only,recalibrated,tail_above_p3_count,0.0,2.0,0.0,5.0
2021,rolling3y,sv_only,recalibrated,acf_ret_lag1,-0.07785742670381525,-0.0037764362255430905,-0.20980505288580298,0.19269135343038604
2021,rolling3y,sv_only,recalibrated,acf_ret_lag5,-0.07639339781561054,-0.0037785773197360536,-0.1879235631935176,0.19205329432707335
2021,rolling3y,sv_only,recalibrated,acf_sqret_lag1,0.13697266546708733,0.20468542269870615,0.021123844202377784,0.4852307699252488
2021,rolling3y,sv_only,recalibrated,acf_sqret_lag5,0.019901996780146283,0.1488088663055378,-0.008100058907907347,0.42747246744678385
2021,rolling3y,sv_only,recalibrated,leadlag_ret_vs_future_sq_lag1,-0.11754269500768565,0.005176832220769614,-0.2161182166134584,0.2306297363369897
2021,rolling3y,sv_only,recalibrated,leadlag_ret_vs_future_sq_lag5,-0.037278430539992094,-0.0014978764508834928,-0.20262066658629704,0.20834065774453397
2021,rolling3y,sv_only,recalibrated,concentration_max_exceed_63d,2.0,4.0,1.0,8.0
2021,rolling3y,sv_only,fixed_baseline,skewness,-0.3375554467009126,0.01807845189286273,-0.8328232115480757,0.7274362041233062
2021,rolling3y,sv_only,fixed_baseline,excess_kurtosis,0.6622367077581108,1.4448881263474163,0.1227482490082642,7.192833106289465
2021,rolling3y,sv_only,fixed_baseline,tail_below_m2_count,9.0,7.0,3.0,11.0
2021,rolling3y,sv_only,fixed_baseline,tail_above_p2_count,4.0,7.0,3.0,11.0
2021,rolling3y,sv_only,fixed_baseline,tail_below_m3_count,2.0,1.0,0.0,4.0
2021,rolling3y,sv_only,fixed_baseline,tail_above_p3_count,0.0,1.0,0.0,4.0
2021,rolling3y,sv_only,fixed_baseline,acf_ret_lag1,-0.07785742670381525,-0.0036273691037176886,-0.1700241741081697,0.15646932047026096
2021,rolling3y,sv_only,fixed_baseline,acf_ret_lag5,-0.07639339781561054,-0.0035577549812495645,-0.1601549074182162,0.1434975735430755
2021,rolling3y,sv_only,fixed_baseline,acf_sqret_lag1,0.13697266546708733,0.13460336609554735,-0.01693322961011481,0.3789688538874741
2021,rolling3y,sv_only,fixed_baseline,acf_sqret_lag5,0.019901996780146283,0.10560862339668163,-0.03466693445691495,0.3359833817024152
2021,rolling3y,sv_only,fixed_baseline,leadlag_ret_vs_future_sq_lag1,-0.11754269500768565,-0.003460416900852479,-0.174741455566654,0.18083239843196272
2021,rolling3y,sv_only,fixed_baseline,leadlag_ret_vs_future_sq_lag5,-0.037278430539992094,-0.00046238467868786083,-0.165534443558037,0.17179651218179082
2021,rolling3y,sv_only,fixed_baseline,concentration_max_exceed_63d,2.0,2.0,0.0,6.0
2021,rolling3y,sv_jump,recalibrated,skewness,-0.3375554467009126,0.04459255986919829,-6.379087461907316,6.436167858273044
2021,rolling3y,sv_jump,recalibrated,excess_kurtosis,0.6622367077581108,8.801974635017462,1.2935866323314442,98.5285379144847
2021,rolling3y,sv_jump,recalibrated,tail_below_m2_count,9.0,6.0,1.0,11.0
2021,rolling3y,sv_jump,recalibrated,tail_above_p2_count,4.0,6.0,1.0,11.0
2021,rolling3y,sv_jump,recalibrated,tail_below_m3_count,2.0,2.0,0.0,5.0
2021,rolling3y,sv_jump,recalibrated,tail_above_p3_count,0.0,2.0,0.0,5.0
2021,rolling3y,sv_jump,recalibrated,acf_ret_lag1,-0.07785742670381525,-0.003389993542069583,-0.18338981571759472,0.19569679491603148
2021,rolling3y,sv_jump,recalibrated,acf_ret_lag5,-0.07639339781561054,-0.003923382716810141,-0.17360708520729343,0.16982608336062366
2021,rolling3y,sv_jump,recalibrated,acf_sqret_lag1,0.13697266546708733,0.08724428336275084,-0.014268943230933018,0.4392981863995185
2021,rolling3y,sv_jump,recalibrated,acf_sqret_lag5,0.019901996780146283,0.05604473427866036,-0.017112973012102444,0.36247968610711745
2021,rolling3y,sv_jump,recalibrated,leadlag_ret_vs_future_sq_lag1,-0.11754269500768565,0.0009713877598729339,-0.20080649117645222,0.21089459165614488
2021,rolling3y,sv_jump,recalibrated,leadlag_ret_vs_future_sq_lag5,-0.037278430539992094,0.0013210287395083414,-0.18032950561593836,0.17816787788029506
2021,rolling3y,sv_jump,recalibrated,concentration_max_exceed_63d,2.0,3.0,1.0,8.0
2021,rolling3y,sv_jump,fixed_baseline,skewness,-0.3375554467009126,0.028782700717676933,-4.045764864118635,4.123647553464154
2021,rolling3y,sv_jump,fixed_baseline,excess_kurtosis,0.6622367077581108,4.249726466717377,0.38009450540756684,53.126498529329396
2021,rolling3y,sv_jump,fixed_baseline,tail_below_m2_count,9.0,6.0,1.0,10.0
2021,rolling3y,sv_jump,fixed_baseline,tail_above_p2_count,4.0,6.0,1.0,10.0
2021,rolling3y,sv_jump,fixed_baseline,tail_below_m3_count,2.0,1.0,0.0,4.0
2021,rolling3y,sv_jump,fixed_baseline,tail_above_p3_count,0.0,1.0,0.0,4.0
2021,rolling3y,sv_jump,fixed_baseline,acf_ret_lag1,-0.07785742670381525,-0.004936526971301422,-0.1478520526162873,0.148541538869071
2021,rolling3y,sv_jump,fixed_baseline,acf_ret_lag5,-0.07639339781561054,-0.00506682541448445,-0.15283326366293618,0.14683501306050173
2021,rolling3y,sv_jump,fixed_baseline,acf_sqret_lag1,0.13697266546708733,0.04995985774072359,-0.025881590759819068,0.3422877971103898
2021,rolling3y,sv_jump,fixed_baseline,acf_sqret_lag5,0.019901996780146283,0.03852301809860431,-0.02960285189939301,0.28090036729003925
2021,rolling3y,sv_jump,fixed_baseline,leadlag_ret_vs_future_sq_lag1,-0.11754269500768565,-0.0017184928348599332,-0.1558128613798309,0.14886384994893914
