eval_year,rule,branch,A,rho,loss,loss_mc_se,rv21_component,acf_abs_component,is_baseline
2021,rolling3y,sv_only,1.6,0.96,1.1098193663403968,0.02133811975981638,0.6891992477829866,1.530439484897807,False
2021,rolling3y,sv_only,1.4,0.98,1.1547869796021786,0.024068368248029114,0.25174965280647793,2.057824306397879,False
2021,rolling3y,sv_only,1.0,0.98,3.306762458420857,0.048255353608697184,1.4940775281491838,5.11944738869253,True
2021,rolling3y,sv_jump,1.6,0.98,2.4743924228955523,0.05335896549185184,1.0774726879502983,3.8713121578408063,False
2021,rolling3y,sv_jump,1.6,0.96,2.503967393169831,0.04676858600458862,0.8440943447666628,4.163840441573,False
2021,rolling3y,sv_jump,1.4,0.98,2.6319661732147175,0.05517941291854389,0.3789223235919645,4.885010022837471,False
2021,rolling3y,sv_jump,1.0,0.98,4.857316228203862,0.06241848453603518,1.347225660237309,8.367406796170416,True
2021,expanding,sv_only,1.6,0.98,1.3288051840103121,0.02999211850215629,0.9347356151105989,1.7228747529100255,False
2021,expanding,sv_only,1.6,0.99,1.6751658176665651,0.03567290003258296,0.8622059950040417,2.4881256403290886,False
2021,expanding,sv_only,1.6,0.96,1.8053507475590833,0.037128487922865085,0.7392889459397795,2.871412549178387,False
2021,expanding,sv_only,1.0,0.98,5.760807523386032,0.07364222455259171,3.800647925387411,7.720967121384653,True
2021,expanding,sv_jump,1.6,0.98,3.1645026067856,0.06246653652520186,1.1748946768442345,5.154110536726966,False
2021,expanding,sv_jump,1.6,0.96,3.6446927597361043,0.05743976340654018,1.1017382975798993,6.187647221892309,False
2021,expanding,sv_jump,1.8,0.98,3.653957310015654,0.08994064203878747,3.115733021522775,4.192181598508533,False
2021,expanding,sv_jump,1.0,0.98,7.384103655657626,0.07259450848919045,3.407118825886163,11.361088485429088,True
2022,rolling3y,sv_only,1.6,0.98,1.5776332411867848,0.0293795551291557,1.4573413166418472,1.6979251657317227,False
2022,rolling3y,sv_only,1.4,0.98,1.6376452148898928,0.03348215747548816,0.5096412027026775,2.765649227077108,False
2022,rolling3y,sv_only,1.6,0.96,1.7169999235430824,0.028571502340859093,1.1681869392905362,2.2658129077956284,False
2022,rolling3y,sv_only,1.0,0.98,4.011265762016984,0.051237362069479285,1.5162272868657884,6.5063042371681785,True
2022,rolling3y,sv_jump,1.6,0.98,3.111057302036031,0.06300158672412634,1.7667308889607145,4.455383715111347,False
2022,rolling3y,sv_jump,1.4,0.98,3.2232132428135998,0.05354252029341552,0.754406973287947,5.692019512339252,False
2022,rolling3y,sv_jump,1.6,0.96,3.290727319060206,0.0516295234629475,1.4130850339660654,5.168369604154347,False
2022,rolling3y,sv_jump,1.0,0.98,5.530551449267122,0.06362376229911439,1.3203889202669847,9.74071397826726,True
2022,expanding,sv_only,1.4,0.98,1.5134372471971027,0.024662338831635763,0.7449785469669429,2.2818959474272624,False
2022,expanding,sv_only,1.6,0.98,1.750919907269596,0.03741602804276917,2.2442974047157036,1.2575424098234882,False
2022,expanding,sv_only,1.6,0.96,1.8506758941106725,0.030808984563724107,1.5002225157702036,2.201129272451141,False
2022,expanding,sv_only,1.0,0.98,4.743484151857844,0.06872591374011773,2.420503461058346,7.066464842657342,True
2022,expanding,sv_jump,1.4,0.98,3.468572835278061,0.06449992173753058,0.9685260100160832,5.968619660540039,False
2022,expanding,sv_jump,1.6,0.98,3.5997222977978964,0.07031389787719569,2.672296884048738,4.527147711547054,False
2022,expanding,sv_jump,1.6,0.96,3.7843578556619617,0.04669818689915043,1.9173138276717954,5.651401883652128,False
2022,expanding,sv_jump,1.0,0.98,6.703434753247487,0.06860610847791947,2.079834715605446,11.32703479088953,True
2023,rolling3y,sv_only,1.2,0.98,1.0408336407807957,0.019929692228394177,0.2892936307180487,1.7923736508435426,False
2023,rolling3y,sv_only,1.4,0.98,1.0524305983152327,0.021214744499543685,1.018722071077671,1.0861391255527941,False
2023,rolling3y,sv_only,1.4,0.96,1.0781173319479531,0.017675098460501807,0.8226485670368341,1.333586096859072,False
2023,rolling3y,sv_only,1.0,0.98,1.7606945675107024,0.029087162585978335,0.35956744688550946,3.161821688135895,True
2023,rolling3y,sv_jump,1.2,0.98,2.0761233694086774,0.03780998637724776,0.5344222080082832,3.6178245308090715,False
2023,rolling3y,sv_jump,1.4,0.96,2.099718149191068,0.032221981696140135,1.1279703893726685,3.071465909009468,False
2023,rolling3y,sv_jump,1.4,0.98,2.1132546890644486,0.04055205981703788,1.4813542071521038,2.7451551709767936,False
2023,rolling3y,sv_jump,1.0,0.98,2.7675678640689343,0.04209008750621225,0.3512062238271258,5.1839295043107425,True
2023,expanding,sv_only,1.4,0.98,0.7393091528377068,0.017621038389410357,0.4377823151762907,1.040835990499123,False
2023,expanding,sv_only,1.4,0.96,1.0618467857866778,0.02088195640004906,0.17505658419580705,1.9486369873775486,False
2023,expanding,sv_only,1.4,0.99,1.1028575851578166,0.03075286728005961,0.44164566560241636,1.7640695047132169,False
2023,expanding,sv_only,1.0,0.98,3.271546942873017,0.046435252859918605,1.61359234645084,4.9295015392951935,True
2023,expanding,sv_jump,1.4,0.98,2.0244360288919205,0.04750565176957396,0.6615408482211004,3.3873312095627406,False
2023,expanding,sv_jump,1.4,0.99,2.4816082414986216,0.05132810563185897,0.7447296580279076,4.218486824969336,False
2023,expanding,sv_jump,1.6,0.98,2.586685531608265,0.06065301123388589,2.7390184285983565,2.4343526346181736,False
2023,expanding,sv_jump,1.0,0.98,4.7367586665133485,0.05863025238186741,1.0703171839199117,8.403200149106786,True
