object,model,period,group,statistics,inside,coverage,w1_to_market,w1_reference,w1_ratio
nikkei225,sv_jump,describe,tails (counts),6,6.0,1.0,,,
nikkei225,sv_jump,describe,persistence,5,5.0,1.0,,,
nikkei225,sv_jump,describe,concentration,1,1.0,1.0,,,
nikkei225,sv_jump,describe,return vs future variance,3,3.0,1.0,,,
nikkei225,sv_jump,describe,W1 / sim-sim reference,1,,,0.0634561599004545,0.069328560961729,0.9152960774057289
sp500,gaussian,contrast,volatility range,3,1.0,0.3333333333333333,,,
sp500,gaussian,contrast,tails (counts),6,5.0,0.8333333333333334,,,
sp500,gaussian,contrast,persistence,5,3.0,0.6,,,
sp500,gaussian,contrast,concentration,1,1.0,1.0,,,
sp500,gaussian,contrast,return vs future variance,3,2.0,0.6666666666666666,,,
sp500,gaussian,contrast,W1 / sim-sim reference,1,,,0.0872752540825948,0.0496674710739442,1.7571914211750521
sp500,gaussian,describe,volatility range,3,0.0,0.0,,,
sp500,gaussian,describe,tails (counts),6,1.0,0.16666666666666666,,,
sp500,gaussian,describe,persistence,5,1.0,0.2,,,
sp500,gaussian,describe,concentration,1,0.0,0.0,,,
sp500,gaussian,describe,return vs future variance,3,1.0,0.3333333333333333,,,
sp500,gaussian,describe,W1 / sim-sim reference,1,,,0.3017778351226634,0.0315360915621266,9.56928459343658
sp500,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
sp500,stoch_vol,contrast,tails (counts),6,6.0,1.0,,,
sp500,stoch_vol,contrast,persistence,5,4.0,0.8,,,
sp500,stoch_vol,contrast,concentration,1,1.0,1.0,,,
sp500,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
sp500,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.0688960632057277,0.0765115904998129,0.9004657040281522
sp500,stoch_vol,describe,volatility range,3,2.0,0.6666666666666666,,,
sp500,stoch_vol,describe,tails (counts),6,4.0,0.6666666666666666,,,
sp500,stoch_vol,describe,persistence,5,2.0,0.4,,,
sp500,stoch_vol,describe,concentration,1,1.0,1.0,,,
sp500,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
sp500,stoch_vol,describe,W1 / sim-sim reference,1,,,0.1827672335062913,0.0561588453135662,3.254469220045386
sp500,sv_jump,contrast,volatility range,3,3.0,1.0,,,
sp500,sv_jump,contrast,tails (counts),6,6.0,1.0,,,
sp500,sv_jump,contrast,persistence,5,5.0,1.0,,,
sp500,sv_jump,contrast,concentration,1,1.0,1.0,,,
sp500,sv_jump,contrast,return vs future variance,3,2.0,0.6666666666666666,,,
sp500,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1109851470925126,0.1016069098136935,1.0922992077607225
sp500,sv_jump,describe,volatility range,3,3.0,1.0,,,
sp500,sv_jump,describe,tails (counts),6,5.0,0.8333333333333334,,,
sp500,sv_jump,describe,persistence,5,2.0,0.4,,,
sp500,sv_jump,describe,concentration,1,0.0,0.0,,,
sp500,sv_jump,describe,return vs future variance,3,2.0,0.6666666666666666,,,
sp500,sv_jump,describe,W1 / sim-sim reference,1,,,0.1360072476973711,0.0681895200240788,1.9945476614198896
