object,model,period,group,statistics,inside,coverage,w1_to_market,w1_reference,w1_ratio
nasdaq100,sv_jump,describe,persistence,5,2.0,0.4,,,
nasdaq100,sv_jump,describe,concentration,1,1.0,1.0,,,
nasdaq100,sv_jump,describe,return vs future variance,3,3.0,1.0,,,
nasdaq100,sv_jump,describe,W1 / sim-sim reference,1,,,0.0951506612728222,0.0681566491497679,1.3960583810940803
nikkei225,gaussian,contrast,volatility range,3,2.0,0.6666666666666666,,,
nikkei225,gaussian,contrast,tails (counts),6,6.0,1.0,,,
nikkei225,gaussian,contrast,persistence,5,5.0,1.0,,,
nikkei225,gaussian,contrast,concentration,1,1.0,1.0,,,
nikkei225,gaussian,contrast,return vs future variance,3,3.0,1.0,,,
nikkei225,gaussian,contrast,W1 / sim-sim reference,1,,,0.0644588171835481,0.0503746909383446,1.2795873479887263
nikkei225,gaussian,describe,volatility range,3,0.0,0.0,,,
nikkei225,gaussian,describe,tails (counts),6,2.0,0.3333333333333333,,,
nikkei225,gaussian,describe,persistence,5,1.0,0.2,,,
nikkei225,gaussian,describe,concentration,1,0.0,0.0,,,
nikkei225,gaussian,describe,return vs future variance,3,3.0,1.0,,,
nikkei225,gaussian,describe,W1 / sim-sim reference,1,,,0.1507946320275384,0.0326400961154816,4.619919974929689
nikkei225,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
nikkei225,stoch_vol,contrast,tails (counts),6,6.0,1.0,,,
nikkei225,stoch_vol,contrast,persistence,5,3.0,0.6,,,
nikkei225,stoch_vol,contrast,concentration,1,1.0,1.0,,,
nikkei225,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
nikkei225,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.1020063027265441,0.078257784834389,1.3034652455651827
nikkei225,stoch_vol,describe,volatility range,3,3.0,1.0,,,
nikkei225,stoch_vol,describe,tails (counts),6,6.0,1.0,,,
nikkei225,stoch_vol,describe,persistence,5,5.0,1.0,,,
nikkei225,stoch_vol,describe,concentration,1,1.0,1.0,,,
nikkei225,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
nikkei225,stoch_vol,describe,W1 / sim-sim reference,1,,,0.0561006316687479,0.0575563013476799,0.9747087695899924
nikkei225,sv_jump,contrast,volatility range,3,3.0,1.0,,,
nikkei225,sv_jump,contrast,tails (counts),6,5.0,0.8333333333333334,,,
nikkei225,sv_jump,contrast,persistence,5,4.0,0.8,,,
nikkei225,sv_jump,contrast,concentration,1,1.0,1.0,,,
nikkei225,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
nikkei225,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1500920727534999,0.0999677727243258,1.5014045893309877
nikkei225,sv_jump,describe,volatility range,3,3.0,1.0,,,
nikkei225,sv_jump,describe,tails (counts),6,6.0,1.0,,,
nikkei225,sv_jump,describe,persistence,5,5.0,1.0,,,
nikkei225,sv_jump,describe,concentration,1,1.0,1.0,,,
nikkei225,sv_jump,describe,return vs future variance,3,3.0,1.0,,,
nikkei225,sv_jump,describe,W1 / sim-sim reference,1,,,0.0625334617315364,0.0693479525265144,0.9017347946592574
sp500,gaussian,contrast,volatility range,3,1.0,0.3333333333333333,,,
sp500,gaussian,contrast,tails (counts),6,5.0,0.8333333333333334,,,
sp500,gaussian,contrast,persistence,5,3.0,0.6,,,
sp500,gaussian,contrast,concentration,1,1.0,1.0,,,
sp500,gaussian,contrast,return vs future variance,3,2.0,0.6666666666666666,,,
sp500,gaussian,contrast,W1 / sim-sim reference,1,,,0.0869484450102993,0.0497796667655684,1.7466658710226601
sp500,gaussian,describe,volatility range,3,0.0,0.0,,,
sp500,gaussian,describe,tails (counts),6,1.0,0.16666666666666666,,,
sp500,gaussian,describe,persistence,5,1.0,0.2,,,
sp500,gaussian,describe,concentration,1,0.0,0.0,,,
sp500,gaussian,describe,return vs future variance,3,1.0,0.3333333333333333,,,
sp500,gaussian,describe,W1 / sim-sim reference,1,,,0.3018204281297429,0.0318413753739802,9.478875349598791
sp500,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
sp500,stoch_vol,contrast,tails (counts),6,6.0,1.0,,,
sp500,stoch_vol,contrast,persistence,5,4.0,0.8,,,
sp500,stoch_vol,contrast,concentration,1,1.0,1.0,,,
sp500,stoch_vol,contrast,return vs future variance,3,2.0,0.6666666666666666,,,
sp500,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.0695088491525386,0.0764836981870704,0.9088060697918645
sp500,stoch_vol,describe,volatility range,3,2.0,0.6666666666666666,,,
sp500,stoch_vol,describe,tails (counts),6,4.0,0.6666666666666666,,,
sp500,stoch_vol,describe,persistence,5,2.0,0.4,,,
sp500,stoch_vol,describe,concentration,1,1.0,1.0,,,
sp500,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
