A,rho,loss,loss_mc_se,is_baseline,scenario,replicate
1.0,0.98,0.21866348040235611,0.012489834330795644,True,A1.0_rho0.98,9
1.0,0.94,0.29557351669046966,0.00982031434850675,False,A1.0_rho0.98,9
0.8,0.98,0.1625866490888792,0.00509201112283124,False,A1.0_rho0.98,10
0.8,0.96,0.2039097745753546,0.0049107987529110235,False,A1.0_rho0.98,10
0.8,0.99,0.2194416141246681,0.009068366604305308,False,A1.0_rho0.98,10
1.0,0.98,0.8848940256066831,0.028958040807395564,True,A1.0_rho0.98,10
1.0,0.98,0.18153448401659542,0.008663687823847134,True,A1.0_rho0.98,11
1.0,0.99,0.37296446638080455,0.01074424351746955,False,A1.0_rho0.98,11
1.0,0.96,0.41807966908031596,0.01133781052120663,False,A1.0_rho0.98,11
0.8,0.96,0.17644013272808004,0.004902366593384486,False,A1.0_rho0.98,12
0.8,0.98,0.1934185900459026,0.00686445304597625,False,A1.0_rho0.98,12
0.8,0.94,0.2002722840955614,0.005854401116694968,False,A1.0_rho0.98,12
1.0,0.98,1.03501938513315,0.027776144104322633,True,A1.0_rho0.98,12
1.4,0.98,1.079585697854876,0.033479996961266245,False,A1.0_rho0.98,13
1.4,0.99,1.2450652753761546,0.05024645795006759,False,A1.0_rho0.98,13
1.2,0.98,1.4751344907552626,0.036246703430087006,False,A1.0_rho0.98,13
1.0,0.98,3.2375220277947,0.055205191370603104,True,A1.0_rho0.98,13
1.0,0.96,0.4552417903500594,0.007633407442390328,False,A1.0_rho0.98,14
0.8,0.98,0.48742303768575357,0.011608336264914343,False,A1.0_rho0.98,14
1.0,0.98,0.5261372847562575,0.014421076389230602,True,A1.0_rho0.98,14
1.0,0.98,0.13546321750925017,0.00864799245260024,True,A1.0_rho0.98,15
1.0,0.96,0.248706665889837,0.008393979538345234,False,A1.0_rho0.98,15
1.0,0.99,0.2823196761009324,0.016119829008512426,False,A1.0_rho0.98,15
0.8,0.98,0.2119671873582645,0.004936408303951169,False,A1.0_rho0.98,16
0.8,0.96,0.26654569220670327,0.006820818379950271,False,A1.0_rho0.98,16
0.8,0.99,0.2753339478124793,0.00823680223235622,False,A1.0_rho0.98,16
1.0,0.98,0.7125621279618224,0.02331070293432447,True,A1.0_rho0.98,16
1.0,0.99,0.1533987505975613,0.014087499783222796,False,A1.0_rho0.98,17
1.0,0.98,0.16171806293115218,0.007722413269607809,True,A1.0_rho0.98,17
1.0,0.96,0.39172042592723266,0.008940033900308559,False,A1.0_rho0.98,17
1.0,0.98,0.1282895528010857,0.01076058813595731,True,A1.0_rho0.98,18
1.0,0.96,0.19017322976021656,0.007967581891377406,False,A1.0_rho0.98,18
1.0,0.99,0.19074901600430516,0.015301677100825797,False,A1.0_rho0.98,18
1.2,0.98,0.21785370080178015,0.0136227646579022,False,A1.0_rho0.98,19
1.2,0.99,0.419924840194798,0.015154120500458619,False,A1.0_rho0.98,19
1.2,0.96,0.5649810381814259,0.016182000568083065,False,A1.0_rho0.98,19
1.0,0.98,1.0009313822831536,0.0322498632774798,True,A1.0_rho0.98,19
1.4,0.96,0.27931595731635683,0.013089342380776752,False,A1.4_rho0.96,0
1.2,0.98,0.3271994402161161,0.013464674828939217,False,A1.4_rho0.96,0
1.4,0.98,0.34631569659677364,0.019120386549489436,False,A1.4_rho0.96,0
1.0,0.98,1.3275390245630263,0.035425889542949236,True,A1.4_rho0.96,0
1.2,0.94,0.15458917652030787,0.005590395136108336,False,A1.4_rho0.96,1
1.4,0.9,0.21669865340404565,0.007905534759979774,False,A1.4_rho0.96,1
1.2,0.96,0.3570847255518233,0.011947380840817062,False,A1.4_rho0.96,1
1.0,0.98,1.0174630146688166,0.01505508348390357,True,A1.4_rho0.96,1
1.2,0.98,0.1280298069950745,0.007396867203415318,False,A1.4_rho0.96,2
1.2,0.99,0.2440619976621804,0.011156759151540569,False,A1.4_rho0.96,2
1.4,0.96,0.4559582058399153,0.014427213401143208,False,A1.4_rho0.96,2
1.0,0.98,0.8789886934857807,0.026284748844013387,True,A1.4_rho0.96,2
1.2,0.96,0.2445887894574591,0.0080917509787561,False,A1.4_rho0.96,3
1.2,0.98,0.34069214740206655,0.011040269030735586,False,A1.4_rho0.96,3
1.4,0.96,0.3649829425632424,0.012402566243595215,False,A1.4_rho0.96,3
1.0,0.98,0.7807973204916913,0.02203186190956007,True,A1.4_rho0.96,3
1.4,0.94,0.3496246051254024,0.011209042551916133,False,A1.4_rho0.96,4
1.2,0.94,0.4070718176114902,0.008793121711059523,False,A1.4_rho0.96,4
1.2,0.96,0.43542353495533215,0.011989575195402268,False,A1.4_rho0.96,4
1.0,0.98,1.0753329918654593,0.01883011919879683,True,A1.4_rho0.96,4
1.4,0.94,0.31506357351716385,0.010622351011595223,False,A1.4_rho0.96,5
1.2,0.96,0.4026889867973245,0.009903981160959177,False,A1.4_rho0.96,5
1.2,0.94,0.5114524549415121,0.014261483714529675,False,A1.4_rho0.96,5
1.0,0.98,1.270091842348021,0.021528618838726164,True,A1.4_rho0.96,5
1.4,0.96,0.466507864922953,0.0158019851307339,False,A1.4_rho0.96,6
1.4,0.94,0.6976654279890754,0.018348286449184167,False,A1.4_rho0.96,6
1.6,0.94,0.7538534944613065,0.02038129157984026,False,A1.4_rho0.96,6
1.0,0.98,2.419723513459314,0.03745731404084407,True,A1.4_rho0.96,6
1.4,0.96,0.47979458620135607,0.01920405956380698,False,A1.4_rho0.96,7
1.4,0.98,0.6851245111375097,0.019827355857475384,False,A1.4_rho0.96,7
1.4,0.94,0.8528298146941545,0.01995708314421736,False,A1.4_rho0.96,7
1.0,0.98,2.3429719820474952,0.03886433792631719,True,A1.4_rho0.96,7
1.2,0.98,0.375041656382336,0.011398678478835918,False,A1.4_rho0.96,8
1.2,0.99,0.49845048879689724,0.015376240293914958,False,A1.4_rho0.96,8
1.4,0.96,0.6149010918322297,0.016004721450208485,False,A1.4_rho0.96,8
1.0,0.98,1.096404851518153,0.02723019547780131,True,A1.4_rho0.96,8
1.4,0.94,0.38052974922566046,0.00988703857446294,False,A1.4_rho0.96,9
1.2,0.96,0.45320412330765847,0.010026642543403035,False,A1.4_rho0.96,9
1.2,0.94,0.480063623250773,0.010511769349581283,False,A1.4_rho0.96,9
1.0,0.98,1.1720889214533656,0.019031982469644607,True,A1.4_rho0.96,9
1.2,0.94,0.18074144490260174,0.005934726548368158,False,A1.4_rho0.96,10
