object,model,period,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range,n_days,sigma_annual,category,comparison
ff_momentum,stoch_vol,contrast,acf_absret_lag21,0.09688219596930059,0.10688884030911777,-0.02721731787507615,0.2958451977952958,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,acf_absret_lag63,-0.012604929394060395,0.008872092304785419,-0.10585267610370729,0.15787768997609494,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,acf_ret_lag1,0.0516482889843772,-0.003219009236378789,-0.13059951274931195,0.1280088200594198,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,acf_ret_lag5,-0.02522431992934759,-0.002253557630365676,-0.11698658332767926,0.10785534288878372,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,acf_ret_lag21,-0.022262365837967434,-0.003380143136138477,-0.10624293569495652,0.10067857370093132,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,concentration_max_exceed_63d,3.0,4.0,1.0,10.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,leadlag_ret_vs_future_sq_lag1,-0.052412424804304754,0.0018895799156990602,-0.13051270639977117,0.1520327817609493,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,leadlag_ret_vs_future_sq_lag5,-0.029079317345864532,-0.001749372177592216,-0.13428702036095685,0.13275946466202976,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,leadlag_ret_vs_future_sq_lag21,-0.08736820449740522,-0.0005526027049438851,-0.11725580644131516,0.11581283830434114,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,sd_daily,0.012317313984486032,0.011289290338743607,0.007193235975807514,0.018422026212411357,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,excess_kurtosis,2.363255199382367,2.171565385496755,0.6130561192571923,9.413895767048258,True,501,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,contrast,rv21_q10,0.1092641569774828,0.07855821963199305,0.04527031406632949,0.12766501289846374,True,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,sv_jump,contrast,rv21_q50,0.17446689084178693,0.14232222312455114,0.09166153863026792,0.21823943706611157,True,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,sv_jump,contrast,rv21_q90,0.28485526851367876,0.26841643112583397,0.1626043828503907,0.44178753305396185,True,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,sv_jump,contrast,rv21_q10_over_own_sd,0.5588064838758352,0.4421850734676222,0.2568555604515379,0.6195002937860443,True,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,sv_jump,contrast,rv21_q50_over_own_sd,0.8922709195856383,0.8084795487029394,0.5860248755021454,0.9530087257347113,True,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,sv_jump,contrast,rv21_q90_over_own_sd,1.4568269724941858,1.4863376263990453,1.2526487198436782,1.7973973075726173,True,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
