branch,A,rho,n_paths,loss,rv21_component,acf_abs_component,term_rv21_q10,term_rv21_q50,term_rv21_q90,term_acf_absret_lag1,term_acf_absret_lag5,term_acf_absret_lag10,term_acf_absret_lag21,term_acf_absret_lag63
sv_jump,0.6,0.9,400,15.434752075958892,7.10435519322136,23.765148958696425,12.631847073495054,8.550219894134646,0.13099861203438,42.9136610205224,35.404296449240626,31.635513120497812,7.783587544281009,1.0886866589402806
sv_jump,0.6,0.94,400,14.43082858502916,6.504628560228174,22.357028609830145,11.133163385908357,8.193219707590679,0.18750258718548826,42.24931960362445,33.223250958978014,28.830992172946605,6.442681778467007,1.038898535134633
sv_jump,0.6,0.96,400,13.84312342690792,6.204365784226828,21.481881069589015,10.360700664164348,8.004300714948249,0.24809597356788454,41.966959070874736,32.30390235724857,26.948131344328882,5.2936900334418855,0.8967225420509901
sv_jump,0.6,0.98,400,13.349325012718262,5.937523382915853,20.761126642520672,9.784827990329171,7.77343778359495,0.25430437482344176,42.70041068343209,31.69657711469762,25.08418004065764,3.9455119842991935,0.3789533895168156
sv_jump,0.6,0.99,400,13.400238848943278,5.7425235623916935,21.057954135494864,9.656276594051022,7.385204795450876,0.18608929767318297,44.090240636252055,32.488843563840874,25.243272990579072,3.3815643540778377,0.08584913272449766
sv_jump,0.8,0.9,400,12.68441777776263,5.240723487218857,20.1281120683064,8.121335317615843,7.170691981884979,0.43014316215574927,33.392144716371845,29.74602996583314,29.030023067364958,7.350999277593863,1.1213633143681914
sv_jump,0.8,0.94,400,11.307582570712832,4.530767755595024,18.084397385830638,6.461840513177727,6.6195069466084275,0.510955806998917,32.56273243156984,26.91992206073782,24.43016800836608,5.450058899470566,1.0591055290088924
sv_jump,0.8,0.96,400,10.579734726944631,4.1711695969064495,16.988299856982813,5.520207864573415,6.374386216106585,0.6189147100393484,32.71753696167013,25.7220110515635,21.762813017916017,3.868481964920706,0.8706562888436995
sv_jump,0.8,0.98,400,9.825669582168395,3.737567719447259,15.91377144488953,4.770029028718098,5.781712805402913,0.6609613242207655,33.582082424994375,24.549402445370315,19.081304881060042,2.1515520467049614,0.2045154263179513
sv_jump,0.8,0.99,400,9.915825633858349,3.4552713402248236,16.376379927491875,4.637382568893047,5.297568327401506,0.4308631243799175,35.646531459385336,25.651351867020104,19.020918262675366,1.5602987589081079,0.0027992894704709924
sv_jump,1.0,0.9,400,10.246175027778392,3.5296680878100033,16.962681967746782,4.266947479808678,5.545309759750916,0.7767470238704145,25.128029514184345,25.15085324736495,26.33839666966652,7.0622957403848385,1.1338346671332622
sv_jump,1.0,0.94,400,8.575940306045979,2.805154595035445,14.346726017056515,2.6748716425658667,4.863494852956023,0.877097289584444,24.40649186116854,21.26467697967955,20.55254315854427,4.441837882638021,1.068080203252175
sv_jump,1.0,0.96,400,7.701409033382015,2.459396354121151,12.943421712642879,1.9302123876442434,4.442619911034907,1.0053567636843033,24.28909021361831,19.64678161721368,17.260631454108136,2.7185931088814868,0.8020121693927947
sv_jump,1.0,0.98,400,6.807696839058916,1.956692395057259,11.658701283060573,1.259518907787038,3.7073175603882396,0.9032407169964994,25.002509077691368,18.16724102101847,14.073792929710393,0.976164623568281,0.07379876331435278
sv_jump,1.0,0.99,400,7.015382730589238,1.6389955548905017,12.391769906287974,1.1476505299120272,3.059393718306226,0.7099424164532524,28.160387184815622,19.336909134201505,13.786098462116218,0.5043017182476994,0.17115303205883148
sv_jump,1.2,0.9,400,8.308063351149078,2.099467855094977,14.51665884720318,1.3693438597250496,3.828757290847878,1.1003024147120024,19.051967034764964,21.050957032879413,24.591900880764726,6.747182086119602,1.1412872014871838
sv_jump,1.2,0.94,400,6.473581525251346,1.5523240703962795,11.394838980106412,0.40386933537476727,3.016658223080095,1.2364446527339765,17.728411126197617,16.715915787373675,17.518188418432036,3.9325800883579256,1.0790994801708147
sv_jump,1.2,0.96,400,5.499849084315448,1.3252671357148793,9.674431032916017,0.09972204670589208,2.496800803885735,1.379278556553011,17.67740882300014,14.273470051390321,13.753951722766658,1.894567982815074,0.7727565846078892
sv_jump,1.2,0.98,400,4.729634427493858,0.9799171801953426,8.479351674792373,0.0032567939773946696,1.8411621177768007,1.0953326288318321,18.730963563714667,13.224049281035725,10.119646896113382,0.29546304722109273,0.026635585876996062
sv_jump,1.2,0.99,400,5.013612898631056,0.6979391358489524,9.32928666141316,0.011640799874273047,1.2021089854617675,0.8800676222108164,21.75120662990867,14.222083163404259,10.146006436900743,0.043321735489344836,0.4838153413627837
sv_jump,1.4,0.9,400,6.9094062254596675,1.1771643760789197,12.641648074840415,0.04023823347271864,2.122727024683713,1.3685278700803278,14.112591686572554,18.24307685355646,23.15609592956375,6.591669129318715,1.1048067751905921
sv_jump,1.4,0.94,400,5.152376391871917,1.0038393684065976,9.300913415337238,0.21682114933173025,1.3273722790045595,1.4673246768835033,12.984330525048172,13.501841239879942,15.462090462332329,3.5002842183657408,1.056020631060009
