scenario,scale,statistic,sim_median,sim_p2.5,sim_p97.5,sim_median_mc_se,n_paths,real,real_inside_sim_range
gaussian,native,acf_absret_lag1,-0.0006614649037969074,-0.054845582788404026,0.05406879565049514,0.0008098550316708552,2000,0.5007227427362637,False
gaussian,native,acf_absret_lag5,-0.000861002191803954,-0.053903615955408116,0.05429069828603428,0.0007853823237036053,2000,0.4146461452146091,False
gaussian,native,acf_absret_lag10,-0.0007888745801845193,-0.05251466765641395,0.05227379127972502,0.0007758351491426322,2000,0.3659590462564185,False
gaussian,native,acf_absret_lag21,-0.001490961865701088,-0.059531542799188465,0.05478224492165524,0.0008028881321836379,2000,0.15840447240997177,False
gaussian,native,acf_absret_lag63,-6.257811847426131e-06,-0.05845527560171917,0.057931390570361875,0.0008252604583318293,2000,0.039974696337049836,True
gaussian,native,acf_sqret_lag1,-0.0016847237818307965,-0.05204294374561994,0.05638579247403171,0.0007867522015119463,2000,0.5332894519731963,False
gaussian,native,acf_sqret_lag5,-0.0011983910639199631,-0.05131176453180947,0.05903812364676894,0.0007880208901284017,2000,0.33648374197445374,False
gaussian,native,acf_sqret_lag10,-0.0026199006730580603,-0.05254098320507755,0.0563723201829977,0.0007813765415029025,2000,0.25860000769071245,False
gaussian,native,acf_sqret_lag21,-0.0021125702998188406,-0.05553834513355904,0.054848527556799274,0.0008054442912293294,2000,0.04858286728322976,True
gaussian,native,acf_sqret_lag63,-0.0013131146202113708,-0.05379043245271523,0.06247165308319523,0.0008204763747642843,2000,0.037394822586824354,True
gaussian,native,leadlag_ret_vs_future_sq_lag1,0.0005252997403927393,-0.056303416167159524,0.054160982233218385,0.0007972833706377438,2000,-0.09471016076162476,False
gaussian,native,leadlag_ret_vs_future_sq_lag5,0.0015674938209553598,-0.054443252044520794,0.05338285175912103,0.0007721674726686432,2000,-0.06824443785000317,False
gaussian,native,leadlag_ret_vs_future_sq_lag21,-0.0004636474618482546,-0.056112070867584914,0.05395246940754508,0.0007865323507669512,2000,-0.05072095039065012,True
gaussian,native,agg1d_sd,0.00629278075363534,0.006034727542562698,0.006546099069713438,3.5553494700072055e-06,2000,0.012118087297484344,False
gaussian,native,agg1d_skewness,-0.0035067914574336014,-0.14773060933330198,0.13026762794516542,0.0019392754419179188,2000,-0.7389961323250143,False
gaussian,native,agg1d_excess_kurtosis,-0.017487764346320045,-0.24949127851116287,0.27410758107279976,0.0038018946053525347,2000,20.367350270538573,False
gaussian,native,agg1d_n_blocks,1258.0,1258.0,1258.0,0.0,2000,1258.0,True
gaussian,native,agg5d_sd,0.014057830755376196,0.012856711069635316,0.01522378716201339,1.702545285104229e-05,2000,0.020960471928423846,False
gaussian,native,agg5d_skewness,0.037417876356669044,-0.25764507994003627,0.3306201171717123,0.004296730188245263,2000,-1.0487041835443138,False
