object,model,period,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range,n_days,sigma_annual,comparison
sp500,gaussian,contrast,tail_below_m3_freq,0.005988023952095809,0.0,0.0,0.003992015968063872,False,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,tail_below_m5_freq,0.0,0.0,0.0,0.0,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,tail_above_p2_freq,0.027944111776447105,0.021956087824351298,0.013972055888223553,0.031936127744510975,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,tail_above_p3_freq,0.001996007984031936,0.0,0.0,0.004041916167664398,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,tail_above_p5_freq,0.0,0.0,0.0,0.0,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,acf_absret_lag1,0.050493899503632825,-0.0013853891540154804,-0.08834760666739166,0.08956079833106982,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,acf_absret_lag5,0.20268576874664154,-0.0039615503226317255,-0.09272315497648492,0.08707007002897117,False,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,acf_absret_lag10,0.15515220151370876,-0.0006747753054280473,-0.08996162462467537,0.0795456686190319,False,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,acf_absret_lag21,0.06706339274911602,-0.0021885881437718503,-0.09374974096316659,0.08883838222658266,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,acf_absret_lag63,0.09074437280271565,-0.0013613595306881006,-0.09578507423103577,0.09200055847976532,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,concentration_max_exceed_63d,2.0,1.0,0.0,2.0,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,leadlag_ret_vs_future_sq_lag1,-0.002306844301550615,-8.364936110596133e-05,-0.0850339879663276,0.08894583670716046,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,leadlag_ret_vs_future_sq_lag5,-0.12540398630140218,0.0011147307316640763,-0.08422379967187309,0.08224501105949875,False,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,leadlag_ret_vs_future_sq_lag21,-0.005436194144654863,-0.0004696963222606608,-0.09072743044151871,0.08680230721335608,True,501,0.19236867212948663,scale-free
sp500,gaussian,contrast,sd_daily,0.012267871956501381,0.01210990964347277,0.011377571296126926,0.01286370202866043,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,rv21_q10,0.1014253090749568,0.08497518457634426,0.04812410943630908,0.1400929309762288,True,501,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,stoch_vol,contrast,rv21_q50,0.17720278034722028,0.15098778713587074,0.0967310480164623,0.2337535290982854,True,501,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,stoch_vol,contrast,rv21_q90,0.28614728931251504,0.2654644632282106,0.15969875352288979,0.4644250254045602,True,501,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,stoch_vol,contrast,rv21_q10_over_own_sd,0.5208070265465268,0.47848549252543293,0.2736538110111664,0.6564427869020001,True,501,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
