config,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range
baseline: sv_only A=1.0 rho=0.98,acf_absret_lag21,0.15840447240997177,0.14254508332778623,0.04195014668004485,0.28957216414852066,True
baseline: sv_only A=1.0 rho=0.98,acf_absret_lag63,0.039974696337049836,0.04195731240151594,-0.04567758067348541,0.17069446918030812,True
selected: sv_jump A=1.6 rho=0.98,skewness,-0.7389961323250143,0.011776989302374396,-3.4326933711023657,2.8980866290834517,True
selected: sv_jump A=1.6 rho=0.98,excess_kurtosis,20.367350270538573,18.478993374477817,6.561682912634036,72.77659435492072,True
selected: sv_jump A=1.6 rho=0.98,tail_below_m2_count,37.0,30.0,17.0,42.0,True
selected: sv_jump A=1.6 rho=0.98,tail_above_p2_count,18.0,30.0,18.0,41.0,True
selected: sv_jump A=1.6 rho=0.98,tail_below_m3_count,11.0,12.0,6.0,19.0,True
selected: sv_jump A=1.6 rho=0.98,tail_above_p3_count,9.0,12.0,6.0,19.0,True
selected: sv_jump A=1.6 rho=0.98,tail_below_m5_count,3.0,3.0,0.0,7.0,True
selected: sv_jump A=1.6 rho=0.98,tail_above_p5_count,4.0,3.0,0.0,7.0,True
selected: sv_jump A=1.6 rho=0.98,acf_ret_lag1,-0.24396953335811908,0.0017979940268750398,-0.1073489715055207,0.11176269883147485,False
selected: sv_jump A=1.6 rho=0.98,acf_ret_lag5,0.07865234975544919,-0.00025580776520969003,-0.10050285281790512,0.10490175414858421,True
selected: sv_jump A=1.6 rho=0.98,acf_ret_lag21,0.06479069799423903,-0.00012108223904983443,-0.07766513019935833,0.08060219435063794,True
selected: sv_jump A=1.6 rho=0.98,acf_sqret_lag1,0.5332894519731963,0.11119940336989774,0.00358617150324724,0.3870353529496851,False
selected: sv_jump A=1.6 rho=0.98,acf_sqret_lag5,0.33648374197445374,0.0857199599283046,0.00026821767729369813,0.3340334924114709,False
selected: sv_jump A=1.6 rho=0.98,acf_sqret_lag21,0.04858286728322976,0.0378810344320572,-0.006324766156877379,0.20215886906284822,True
selected: sv_jump A=1.6 rho=0.98,leadlag_ret_vs_future_sq_lag1,-0.09471016076162476,0.00018300158223352714,-0.1214534802426465,0.13381458404568186,True
selected: sv_jump A=1.6 rho=0.98,leadlag_ret_vs_future_sq_lag5,-0.06824443785000317,0.0009741664830135526,-0.1195775676998236,0.10854629740284757,True
selected: sv_jump A=1.6 rho=0.98,leadlag_ret_vs_future_sq_lag21,-0.05072095039065012,0.0007335804341088518,-0.08128079411156718,0.08336057549789047,True
selected: sv_jump A=1.6 rho=0.98,agg5d_sd,0.020960471928423846,0.025138169079855208,0.01614030284854212,0.043374251824670744,True
selected: sv_jump A=1.6 rho=0.98,agg5d_skewness,-1.0487041835443138,0.11547191772009122,-2.2788441102684556,2.8436957402718175,True
selected: sv_jump A=1.6 rho=0.98,agg5d_excess_kurtosis,5.931460248671447,7.777962922330942,2.815574252283606,34.04543285890491,True
selected: sv_jump A=1.6 rho=0.98,agg21d_sd,0.04209813495638222,0.04996719126839938,0.03177315095181284,0.09669287174640365,True
selected: sv_jump A=1.6 rho=0.98,agg21d_skewness,-0.59184386699657,0.12582970641570385,-2.0617594402944994,3.060083079974236,True
selected: sv_jump A=1.6 rho=0.98,agg21d_excess_kurtosis,1.5622695674048126,2.8015571886010355,0.25669666946353004,17.99489994114837,True
selected: sv_jump A=1.6 rho=0.98,concentration_max_exceed_63d,16.0,10.0,4.0,21.0,True
selected: sv_jump A=1.6 rho=0.98,rv21_q10,0.06272305159358481,0.04033178179524907,0.02212388791209538,0.0680020963485534,True
selected: sv_jump A=1.6 rho=0.98,rv21_q50,0.11036933306935255,0.10801243568958624,0.06876498881098077,0.1712751357347351,True
selected: sv_jump A=1.6 rho=0.98,rv21_q90,0.24178335481744329,0.2871615192927832,0.17877660552888378,0.4686215753203725,True
selected: sv_jump A=1.6 rho=0.98,acf_absret_lag1,0.5007227427362637,0.2982715537734459,0.13149806060379912,0.49434253034318004,False
selected: sv_jump A=1.6 rho=0.98,acf_absret_lag5,0.4146461452146091,0.26126692215775904,0.10342801691028404,0.45218170394662993,True
selected: sv_jump A=1.6 rho=0.98,acf_absret_lag10,0.3659590462564185,0.22704549439882904,0.08409984887422907,0.4031555511172273,True
selected: sv_jump A=1.6 rho=0.98,acf_absret_lag21,0.15840447240997177,0.15750824753899362,0.04012171080673277,0.332200881525313,True
selected: sv_jump A=1.6 rho=0.98,acf_absret_lag63,0.039974696337049836,0.041728427209536054,-0.048814492226968056,0.18529215197174864,True
baseline: sv_jump A=1.0 rho=0.98,skewness,-0.7389961323250143,0.0024565619044641164,-2.1056151743109197,2.1228775355474214,True
baseline: sv_jump A=1.0 rho=0.98,excess_kurtosis,20.367350270538573,10.49216902403218,3.0096283976811287,41.633249672966535,True
baseline: sv_jump A=1.0 rho=0.98,tail_below_m2_count,37.0,29.0,19.0,40.0,True
baseline: sv_jump A=1.0 rho=0.98,tail_above_p2_count,18.0,29.0,19.0,40.0,False
baseline: sv_jump A=1.0 rho=0.98,tail_below_m3_count,11.0,9.0,4.0,15.0,True
baseline: sv_jump A=1.0 rho=0.98,tail_above_p3_count,9.0,9.0,4.0,15.0,True
baseline: sv_jump A=1.0 rho=0.98,tail_below_m5_count,3.0,2.0,0.0,5.0,True
baseline: sv_jump A=1.0 rho=0.98,tail_above_p5_count,4.0,2.0,0.0,5.0,True
baseline: sv_jump A=1.0 rho=0.98,acf_ret_lag1,-0.24396953335811908,-0.0017739896259612604,-0.0744005543251841,0.07188006430333771,False
baseline: sv_jump A=1.0 rho=0.98,acf_ret_lag5,0.07865234975544919,-0.0006149350616923086,-0.06860650302280194,0.07440278633719222,False
baseline: sv_jump A=1.0 rho=0.98,acf_ret_lag21,0.06479069799423903,-0.0012989496455418398,-0.06667309450456695,0.06613808673838517,True
baseline: sv_jump A=1.0 rho=0.98,acf_sqret_lag1,0.5332894519731963,0.0560232182489065,-0.0006057573178080588,0.24596070834400774,False
baseline: sv_jump A=1.0 rho=0.98,acf_sqret_lag5,0.33648374197445374,0.048299900669724616,-0.002623893013973732,0.2164742125722337,False
baseline: sv_jump A=1.0 rho=0.98,acf_sqret_lag21,0.04858286728322976,0.026677189196973622,-0.00877495526528345,0.15022493723894167,True
baseline: sv_jump A=1.0 rho=0.98,leadlag_ret_vs_future_sq_lag1,-0.09471016076162476,-0.0024181491559431604,-0.08210767800806605,0.07133857813553908,False
baseline: sv_jump A=1.0 rho=0.98,leadlag_ret_vs_future_sq_lag5,-0.06824443785000317,-0.0008809813496669478,-0.07331164052733827,0.07629795849088249,True
baseline: sv_jump A=1.0 rho=0.98,leadlag_ret_vs_future_sq_lag21,-0.05072095039065012,-0.0018983027011862071,-0.06814628838325314,0.06602890830780966,True
baseline: sv_jump A=1.0 rho=0.98,agg5d_sd,0.020960471928423846,0.026263792137644976,0.019789125961798597,0.03535954110186134,True
baseline: sv_jump A=1.0 rho=0.98,agg5d_skewness,-1.0487041835443138,0.07039643119705544,-1.2246038122256822,1.3386953776644588,True
baseline: sv_jump A=1.0 rho=0.98,agg5d_excess_kurtosis,5.931460248671447,3.4841675961663787,0.9765527973514907,11.919732618794933,True
baseline: sv_jump A=1.0 rho=0.98,agg21d_sd,0.04209813495638222,0.05328469389331053,0.03787601165651185,0.07668131565491336,True
baseline: sv_jump A=1.0 rho=0.98,agg21d_skewness,-0.59184386699657,0.11686119702686723,-1.1750742931885758,1.6154585660772722,True
baseline: sv_jump A=1.0 rho=0.98,agg21d_excess_kurtosis,1.5622695674048126,1.1980096055669525,-0.3533774996725062,6.847841782560956,True
baseline: sv_jump A=1.0 rho=0.98,concentration_max_exceed_63d,16.0,6.0,2.0,14.0,False
baseline: sv_jump A=1.0 rho=0.98,rv21_q10,0.06272305159358481,0.07752122894108451,0.05389236921788975,0.10657312588914523,True
baseline: sv_jump A=1.0 rho=0.98,rv21_q50,0.11036933306935255,0.1456476385578097,0.11061809965231063,0.19352405702455208,False
baseline: sv_jump A=1.0 rho=0.98,rv21_q90,0.24178335481744329,0.2825100668863033,0.20690314595069895,0.3875034419938173,True
baseline: sv_jump A=1.0 rho=0.98,acf_absret_lag1,0.5007227427362637,0.17896823781242344,0.07112994415745696,0.31812507853688965,False
baseline: sv_jump A=1.0 rho=0.98,acf_absret_lag5,0.4146461452146091,0.15994178733937225,0.0593853544394977,0.30471876982776464,False
baseline: sv_jump A=1.0 rho=0.98,acf_absret_lag10,0.3659590462564185,0.13766454767079184,0.045319060709722365,0.2710952522727798,False
baseline: sv_jump A=1.0 rho=0.98,acf_absret_lag21,0.15840447240997177,0.10399306280174864,0.018446974063434613,0.2286453313990499,True
baseline: sv_jump A=1.0 rho=0.98,acf_absret_lag63,0.039974696337049836,0.028028631005032827,-0.044175387535074696,0.13579037399667196,True
